DTM SUDAN: IDP Master List 25-04-2024,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
LOCATION INFORMATION,,,,TOTAL,,STATE of ORIGIN BY INDIVIUALS,,,,,,,,,,,,NATIONALITY BY INDIVIUALS,
STATE OF DISPLACEMET,STATE CODE,LOCALITY OF DISPLACEMENT,LOCALITY CODE,IDPs,HHs,Aj Jazirah,Central Darfur,East Darfur,Khartoum,North Darfur,North Kordofan,Sennar,South Darfur,South Kordofan,West Darfur,West Kordofan,White Nile,  SUDANESE  , NON SUDANESE
#adm1+name,#adm1+pcode,#adm2+name,#adm2+pcode,#affected+idps+hh,#affected+idps+ind,,,,,,,,,,,,,,
 Aj Jazirah , SD15 , Al Hasahisa , SD15034 ," 56,155 "," 10,935 "," 11,562 ", -   , -   ," 44,593 ", -   , -   , -   , -   , -   , -   , -   , -   ," 56,155 ", -   
 Aj Jazirah , SD15 , Al Kamlin , SD15035 ," 67,437 "," 13,418 "," 5,934 ", -   , -   ," 61,503 ", -   , -   , -   , -   , -   , -   , -   , -   ," 67,437 ", -   
 Aj Jazirah , SD15 , Al Manaqil , SD15036 ," 52,398 "," 10,474 "," 34,225 ", -   , -   ," 18,173 ", -   , -   , -   , -   , -   , -   , -   , -   ," 52,398 ", -   
 Aj Jazirah , SD15 , Al Qurashi , SD15037 ," 82,440 "," 16,405 "," 46,878 ", -   , -   ," 31,600 ", -   , -   , 120 , -   , -   , -   , -   ," 3,842 "," 82,440 ", -   
 Aj Jazirah , SD15 , Janub Al Jazirah , SD15031 ," 23,698 "," 4,419 "," 18,173 ", -   , -   ," 5,525 ", -   , -   , -   , -   , -   , -   , -   , -   ," 23,698 ", -   
 Aj Jazirah , SD15 , Medani Al Kubra , SD15030 ," 22,155 "," 4,431 "," 14,133 ", -   , -   ," 8,022 ", -   , -   , -   , -   , -   , -   , -   , -   ," 22,155 ", -   
 Aj Jazirah , SD15 , Sharg Al Jazirah , SD15033 ," 31,763 "," 6,350 "," 12,128 ", -   , -   ," 19,635 ", -   , -   , -   , -   , -   , -   , -   , -   ," 31,763 ", -   
 Aj Jazirah , SD15 , Um Algura , SD15032 ," 35,131 "," 6,891 "," 27,273 ", -   , -   ," 7,858 ", -   , -   , -   , -   , -   , -   , -   , -   ," 35,131 ", -   
 Blue Nile , SD08 , Al Kurmuk , SD08106 ," 1,235 ", 247 , 175 , -   , -   ," 1,060 ", -   , -   , -   , -   , -   , -   , -   , -   ," 1,235 ", -   
 Blue Nile , SD08 , Ar Rusayris , SD08107 ," 36,425 "," 7,285 "," 8,390 ", -   , -   ," 27,260 ", -   , -   , 60 , 60 , 645 , -   , -   , 10 ," 36,425 ", -   
 Blue Nile , SD08 , At Tadamon - BN , SD08108 ," 6,020 "," 1,204 ", 655 , -   , -   ," 4,665 ", -   , -   , 700 , -   , -   , -   , -   , -   ," 6,020 ", -   
 Blue Nile , SD08 , Baw , SD08104 ," 9,215 "," 1,849 "," 2,384 ", -   , -   ," 6,831 ", -   , -   , -   , -   , -   , -   , -   , -   ," 9,215 ", -   
 Blue Nile , SD08 , Ed Damazine , SD08105 ," 89,801 "," 18,243 "," 10,478 ", -   , -   ," 78,308 ", 5 , 35 , 475 , 115 , 385 , -   , -   , -   ," 89,306 ", 495 
 Blue Nile , SD08 , Geisan , SD08109 ," 3,450 ", 690 ," 2,028 ", -   , -   ," 1,362 ", -   , -   , -   , -   , -   , -   , -   , 60 ," 3,450 ", -   
 Blue Nile , SD08 , Wad Al Mahi , SD08110 ," 1,590 ", 318 , -   , -   , -   ," 1,590 ", -   , -   , -   , -   , -   , -   , -   , -   ," 1,590 ", -   
 Central Darfur , SD06 , Azum , SD06110 ," 53,200 "," 10,640 ", -   , 500 , -   , -   , -   , -   , -   , -   , -   ," 52,700 ", -   , -   ," 53,200 ", -   
 Central Darfur , SD06 , Gharb Jabal Marrah , SD06131 ," 43,360 "," 8,672 ", -   ," 35,160 ", -   , 205 , 495 , -   , -   ," 7,500 ", -   , -   , -   , -   ," 43,360 ", -   
 Central Darfur , SD06 , Mukjar , SD06130 ," 2,625 ", 525 , -   ," 2,625 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 2,625 ", -   
 Central Darfur , SD06 , Shamal Jabal Marrah , SD06132 ," 87,544 "," 17,508 ", -   ," 11,980 ", -   ," 1,050 "," 71,834 ", -   , -   ," 2,680 ", -   , -   , -   , -   ," 87,544 ", -   
 Central Darfur , SD06 , Um Dukhun , SD06135 ," 41,900 "," 8,380 ", -   ," 36,375 ", -   , -   , -   , -   , -   ," 3,775 ", -   ," 1,750 ", -   , -   ," 41,900 ", -   
 Central Darfur , SD06 , Wadi Salih , SD06137 ," 18,030 "," 3,606 ", -   ," 16,430 ", -   , -   , -   , -   , -   , 400 , -   ," 1,200 ", -   , -   ," 18,030 ", -   
 Central Darfur , SD06 , Wasat Jabal Marrah , SD06139 ," 80,735 "," 16,147 ", -   ," 70,385 ", -   ," 1,500 "," 2,350 ", -   , -   ," 5,000 ", -   ," 1,500 ", -   , -   ," 80,735 ", -   
 Central Darfur , SD06 , Zalingi , SD06138 ," 102,830 "," 20,566 ", -   ," 98,330 ", -   , -   , -   , -   , -   , -   , -   ," 4,500 ", -   , -   ," 102,830 ", -   
 East Darfur , SD05 , Abu Jabrah , SD05140 ," 44,525 "," 8,905 ", -   , -   ," 1,250 "," 40,610 ", -   , -   , -   ," 2,000 ", -   , -   , 665 , -   ," 44,525 ", -   
 East Darfur , SD05 , Abu Karinka , SD05155 ," 42,040 "," 8,408 ", 200 , -   ," 9,875 "," 31,610 ", 330 , -   , -   , 25 , -   , -   , -   , -   ," 42,040 ", -   
 East Darfur , SD05 , Ad Du'ayn , SD05142 ," 127,570 "," 25,514 ", -   , -   ," 11,450 "," 36,325 "," 7,815 "," 3,910 ", -   ," 68,005 ", -   , -   , 65 , -   ," 127,570 ", -   
 East Darfur , SD05 , Adila , SD05139 ," 48,915 "," 9,783 ", -   , -   , 615 ," 44,625 ", -   , -   , -   ," 3,020 ", -   , -   , 655 , -   ," 48,915 ", -   
 East Darfur , SD05 , Al Firdous , SD05152 ," 53,250 "," 10,650 ", -   , -   ," 12,500 "," 33,750 ", -   , -   , -   ," 7,000 ", -   , -   , -   , -   ," 53,250 ", -   
 East Darfur , SD05 , Assalaya , SD05163 ," 20,550 "," 4,110 ", 200 , -   ," 15,500 ", 10 , -   , 390 , -   ," 4,450 ", -   , -   , -   , -   ," 20,550 ", -   
 East Darfur , SD05 , Bahr Al Arab , SD05160 ," 67,220 "," 13,424 ", -   , -   ," 15,500 "," 49,420 ", -   , -   , -   ," 2,000 ", -   , -   , 300 , -   ," 67,220 ", -   
 East Darfur , SD05 , Shia'ria , SD05148 ," 178,935 "," 35,787 ", -   , -   ," 2,995 "," 59,555 "," 6,455 ", -   , -   ," 109,930 ", -   , -   , -   , -   ," 178,935 ", -   
 East Darfur , SD05 , Yassin , SD05165 ," 77,135 "," 15,337 ", -   , -   ," 3,825 "," 64,335 ", 830 , 120 , -   ," 8,025 ", -   , -   , -   , -   ," 77,135 ", -   
 Gedaref , SD12 , Al Butanah , SD12073 ," 3,795 ", 761 , 265 , -   , -   ," 3,530 ", -   , -   , -   , -   , -   , -   , -   , -   ," 3,795 ", -   
 Gedaref , SD12 , Al Fao , SD12074 ," 69,197 "," 13,668 "," 44,221 ", -   , -   ," 24,976 ", -   , -   , -   , -   , -   , -   , -   , -   ," 68,947 ", 250 
 Gedaref , SD12 , Al Fashaga , SD12075 ," 37,432 "," 7,446 "," 23,174 ", -   , -   ," 13,996 ", 262 , -   , -   , -   , -   , -   , -   , -   ," 37,432 ", -   
 Gedaref , SD12 , Al Galabat Al Gharbyah - Kassab , SD12078 ," 18,265 "," 3,693 "," 5,025 ", -   , -   ," 11,960 ", 690 , 350 , -   , 240 , -   , -   , -   , -   ," 18,265 ", -   
 Gedaref , SD12 , Al Mafaza , SD12082 ," 43,260 "," 8,654 "," 20,235 ", -   , -   ," 23,025 ", -   , -   , -   , -   , -   , -   , -   , -   ," 43,260 ", -   
 Gedaref , SD12 , Al Qureisha , SD12076 ," 30,605 "," 6,121 "," 10,078 ", -   , -   ," 20,355 ", 172 , -   , -   , -   , -   , -   , -   , -   ," 30,605 ", -   
 Gedaref , SD12 , AR Rahad , SD12084 ," 45,555 "," 9,111 "," 6,275 ", -   , -   ," 39,280 ", -   , -   , -   , -   , -   , -   , -   , -   ," 45,555 ", -   
 Gedaref , SD12 , Basundah , SD12077 ," 25,905 "," 5,072 "," 9,122 ", -   , -   ," 16,295 ", 433 , -   , -   , 55 , -   , -   , -   , -   ," 25,905 ", -   
 Gedaref , SD12 , Gala'a Al Nahal , SD12079 ," 12,202 "," 2,440 ", -   , -   , -   ," 12,202 ", -   , -   , -   , -   , -   , -   , -   , -   ," 12,202 ", -   
 Gedaref , SD12 , Galabat Ash-Shargiah , SD12083 ," 52,570 "," 10,510 "," 7,645 ", -   , -   ," 44,925 ", -   , -   , -   , -   , -   , -   , -   , -   ," 52,570 ", -   
 Gedaref , SD12 , Madeinat Al Gedaref , SD12080 ," 128,759 "," 25,486 "," 17,195 ", -   , -   ," 111,564 ", -   , -   , -   , -   , -   , -   , -   , -   ," 128,759 ", -   
 Gedaref , SD12 , Wasat Al Gedaref , SD12081 ," 24,748 "," 4,855 "," 5,453 ", -   , -   ," 19,295 ", -   , -   , -   , -   , -   , -   , -   , -   ," 17,463 "," 7,285 "
 Kassala , SD11 , Halfa Aj Jadeedah , SD11052 ," 52,220 "," 10,450 "," 5,050 ", -   , -   ," 47,170 ", -   , -   , -   , -   , -   , -   , -   , -   ," 51,520 ", 700 
 Kassala , SD11 , Madeinat Kassala , SD11053 ," 123,277 "," 24,912 "," 44,165 ", -   , -   ," 79,112 ", -   , -   , -   , -   , -   , -   , -   , -   ," 120,107 "," 3,170 "
