State_Of_Displacement,State_Code,IDPs,HHs,Sudanes,Non_Sudanes,Year,Month,State_Of_Origin,IDPs_by_State_Of_Origin,State_origin_Code
Aj Jazirah,SD15,371177,73323,371177,0,2024,Apr,Aj Jazirah,170306,SD15
Blue Nile,SD08,147736,29836,147241,495,2024,Apr,Aj Jazirah,24110,SD15
Central Darfur,SD06,430224,86044,430224,0,2024,Apr,Aj Jazirah,0,SD15
East Darfur,SD05,660140,131918,660140,0,2024,Apr,Aj Jazirah,400,SD15
Gedaref,SD12,492293,97817,484758,7535,2024,Apr,Aj Jazirah,148688,SD15
Kassala,SD11,200083,40282,196213,3870,2024,Apr,Aj Jazirah,53650,SD15
Khartoum,SD01,69057,13717,68822,235,2024,Apr,Aj Jazirah,1425,SD15
North Darfur,SD02,573055,114503,572938,117,2024,Apr,Aj Jazirah,65,SD15
North Kordofan,SD13,174007,34261,173679,328,2024,Apr,Aj Jazirah,1673,SD15
Northern,SD17,399867,80305,399136,731,2024,Apr,Aj Jazirah,11306,SD15
Red Sea,SD10,247874,49953,232588,15286,2024,Apr,Aj Jazirah,65562,SD15
River Nile,SD16,698334,137799,698106,228,2024,Apr,Aj Jazirah,17524,SD15
Sennar,SD14,523986,104002,523986,0,2024,Apr,Aj Jazirah,135340,SD15
South Darfur,SD03,744243,148848,744243,0,2024,Apr,Aj Jazirah,0,SD15
South Kordofan,SD07,198839,39492,198097,742,2024,Apr,Aj Jazirah,2753,SD15
West Darfur,SD04,174540,34908,174540,0,2024,Apr,Aj Jazirah,0,SD15
West Kordofan,SD18,148718,29340,148718,0,2024,Apr,Aj Jazirah,0,SD15
White Nile,SD09,532643,105920,442949,89694,2024,Apr,Aj Jazirah,48459,SD15
Aj Jazirah,SD15,371177,73323,371177,0,2024,Apr,Central Darfur,0,SD06
Blue Nile,SD08,147736,29836,147241,495,2024,Apr,Central Darfur,0,SD06
Central Darfur,SD06,430224,86044,430224,0,2024,Apr,Central Darfur,271785,SD06
East Darfur,SD05,660140,131918,660140,0,2024,Apr,Central Darfur,0,SD06
Gedaref,SD12,492293,97817,484758,7535,2024,Apr,Central Darfur,0,SD06
Kassala,SD11,200083,40282,196213,3870,2024,Apr,Central Darfur,0,SD06
Khartoum,SD01,69057,13717,68822,235,2024,Apr,Central Darfur,0,SD06
North Darfur,SD02,573055,114503,572938,117,2024,Apr,Central Darfur,7940,SD06
North Kordofan,SD13,174007,34261,173679,328,2024,Apr,Central Darfur,0,SD06
Northern,SD17,399867,80305,399136,731,2024,Apr,Central Darfur,0,SD06
Red Sea,SD10,247874,49953,232588,15286,2024,Apr,Central Darfur,139,SD06
River Nile,SD16,698334,137799,698106,228,2024,Apr,Central Darfur,115,SD06
Sennar,SD14,523986,104002,523986,0,2024,Apr,Central Darfur,0,SD06
