STATE OF DISPLACEMET,STATE CODE, HHs,  IDPs, Aj Jazirah, Central Darfur, East Darfur, Khartoum, North Darfur, North Kordofan, South Darfur, South Kordofan, West Darfur, West Kordofan, White Nile,  SUDANESE  , NON SUDANESE
Aj Jazirah,SD15,98673,504276,165460,0,0,337584,0,0,0,0,0,0,1232,504276,0
Blue Nile,SD08,17260,86230,10000,0,0,76230,0,0,0,0,0,0,0,85805,425
Central Darfur,SD06,72077,360385,0,217540,0,1205,70785,0,16105,0,54750,0,0,360385,0
East Darfur,SD05,131746,658830,0,0,73110,358480,13900,3910,209180,0,0,250,0,658830,0
Gedaref,SD12,69842,352097,31551,0,0,320416,75,0,55,0,0,0,0,344562,7535
Kassala,SD11,30058,150307,10000,0,0,140307,0,0,0,0,0,0,0,144877,5430
Khartoum,SD01,7908,39503,0,0,0,39503,0,0,0,0,0,0,0,39273,230
North Darfur,SD02,90778,454248,0,7900,30,8630,391706,180,33347,0,12455,0,0,454248,0
North Kordofan,SD13,26563,135790,0,0,0,119400,0,14280,0,1770,0,215,125,135480,310
Northern,SD17,75690,378626,8000,0,0,370626,0,0,0,0,0,0,0,377971,655
Red Sea,SD10,36382,182238,10035,0,0,157915,4440,4405,2653,2725,65,0,0,166388,15850
River Nile,SD16,128802,645644,7000,0,0,638644,0,0,0,0,0,0,0,645124,520
Sennar,SD14,81640,408689,20000,0,0,388689,0,0,0,0,0,0,0,408689,0
South Darfur,SD03,138917,694593,0,7365,0,15625,10080,0,657173,0,4350,0,0,694593,0
South Kordofan,SD07,21019,107570,0,0,0,66967,0,3785,0,36818,0,0,0,106830,740
West Darfur,SD04,24767,123835,0,3150,160,1599,311,0,3770,0,114845,0,0,123835,0
West Kordofan,SD18,18983,96875,0,0,5,64822,823,9522,496,2413,10,18784,0,96875,0
White Nile,SD09,94659,477041,13750,0,0,462206,0,0,0,0,0,0,1085,386140,90901
