STATE OF DISPLACEMET,STATE CODE,LOCALITY OF DISPLACEMENT,LOCALITY_ CODE, HHs , IDPs , Aj Jazirah, Central Darfur, East Darfur, Khartoum, North Darfur, North Kordofan, South Darfur, South Kordofan, West Darfur, West Kordofan, White Nile,  SUDANESE  , NON SUDANESE
Aj Jazirah,SD15,Al Hasahisa,SD15034," 15,797 "," 85,623 "," 13,500 ", -   , -   ," 72,123 ", -   , -   , -   , -   , -   , -   , -   ," 85,623 ", -   
Aj Jazirah,SD15,Al Kamlin,SD15035," 15,462 "," 77,577 "," 3,425 ", -   , -   ," 74,152 ", -   , -   , -   , -   , -   , -   , -   ," 77,577 ", -   
Aj Jazirah,SD15,Al Manaqil,SD15036," 14,985 "," 75,075 "," 34,500 ", -   , -   ," 40,575 ", -   , -   , -   , -   , -   , -   , -   ," 75,075 ", -   
Aj Jazirah,SD15,Al Qurashi,SD15037," 18,690 "," 94,673 "," 40,500 ", -   , -   ," 52,941 ", -   , -   , -   , -   , -   , -   ," 1,232 "," 94,673 ", -   
Aj Jazirah,SD15,Janub Al Jazirah,SD15031," 9,198 "," 46,703 "," 25,500 ", -   , -   ," 21,203 ", -   , -   , -   , -   , -   , -   , -   ," 46,703 ", -   
Aj Jazirah,SD15,Medani Al Kubra,SD15030," 5,798 "," 30,527 "," 16,535 ", -   , -   ," 13,992 ", -   , -   , -   , -   , -   , -   , -   ," 30,527 ", -   
Aj Jazirah,SD15,Sharg Al Jazirah,SD15033," 6,501 "," 32,505 "," 12,000 ", -   , -   ," 20,505 ", -   , -   , -   , -   , -   , -   , -   ," 32,505 ", -   
Aj Jazirah,SD15,Um Algura,SD15032," 12,242 "," 61,593 "," 19,500 ", -   , -   ," 42,093 ", -   , -   , -   , -   , -   , -   , -   ," 61,593 ", -   
Blue Nile,SD08,Al Kurmuk,SD08106, 52 , 260 , -   , -   , -   , 260 , -   , -   , -   , -   , -   , -   , -   , 260 , -   
Blue Nile,SD08,Ar Rusayris,SD08107," 4,954 "," 24,670 "," 4,000 ", -   , -   ," 20,670 ", -   , -   , -   , -   , -   , -   , -   ," 24,670 ", -   
Blue Nile,SD08,At Tadamon - BN,SD08108, 268 ," 1,339 ", -   , -   , -   ," 1,339 ", -   , -   , -   , -   , -   , -   , -   ," 1,339 ", -   
Blue Nile,SD08,Ed Damazine,SD08105," 11,546 "," 57,761 "," 6,000 ", -   , -   ," 51,761 ", -   , -   , -   , -   , -   , -   , -   ," 57,336 ", 425 
Blue Nile,SD08,Geisan,SD08109, 148 , 740 , -   , -   , -   , 740 , -   , -   , -   , -   , -   , -   , -   , 740 , -   
Blue Nile,SD08,Wad Al Mahi,SD08110, 292 ," 1,460 ", -   , -   , -   ," 1,460 ", -   , -   , -   , -   , -   , -   , -   ," 1,460 ", -   
Central Darfur,SD06,Azum,SD06110," 9,800 "," 49,000 ", -   , -   , -   , -   , -   , -   , -   , -   ," 49,000 ", -   , -   ," 49,000 ", -   
Central Darfur,SD06,Gharb Jabal Marrah,SD06131," 6,600 "," 33,000 ", -   ," 25,295 ", -   , 205 , -   , -   ," 7,500 ", -   , -   , -   , -   ," 33,000 ", -   
Central Darfur,SD06,Mukjar,SD06130, 95 , 475 , -   , 475 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 475 , -   
Central Darfur,SD06,Shamal Jabal Marrah,SD06132," 15,700 "," 78,500 ", -   ," 4,235 ", -   ," 1,000 "," 70,785 ", -   ," 2,480 ", -   , -   , -   , -   ," 78,500 ", -   
Central Darfur,SD06,Um Dukhun,SD06135," 8,230 "," 41,150 ", -   ," 36,375 ", -   , -   , -   , -   ," 3,025 ", -   ," 1,750 ", -   , -   ," 41,150 ", -   
Central Darfur,SD06,Wadi Salih,SD06137," 1,006 "," 5,030 ", -   ," 5,030 ", -   , -   , -   , -   , -   , -   , -   , -   , -   ," 5,030 ", -   
