STATE OF DISPLACEMET,STATE CODE,IDPs,HHs,Aj Jazirah,Central Darfur,East Darfur,Khartoum,North Darfur,North Kordofan,Sennar,South Darfur,South Kordofan,West Darfur,West Kordofan,White Nile,  SUDANESE  , NON SUDANESE
 Aj Jazirah , SD15 ," 347,449 "," 68,779 "," 149,076 ", -   , -   ," 197,141 ", -   , -   , -   , -   , -   , -   , -   ," 1,232 "," 347,449 ", -   
 Blue Nile , SD08 ," 134,010 "," 26,788 "," 11,507 ", -   , -   ," 122,318 ", -   , 35 , 30 , 120 , -   , -   , -   , -   ," 133,585 ", 425 
 Central Darfur , SD06 ," 420,340 "," 84,068 ", -   ," 267,595 ", -   ," 2,705 "," 73,135 ", -   , -   ," 18,955 ", -   ," 57,950 ", -   , -   ," 420,340 ", -   
 East Darfur , SD05 ," 661,530 "," 132,286 ", -   , -   ," 73,485 "," 358,630 "," 14,600 "," 3,910 ", -   ," 210,105 ", -   , -   , 800 , -   ," 661,530 ", -   
 Gedaref , SD12 ," 405,873 "," 80,451 "," 72,288 ", -   , -   ," 333,355 ", 175 , -   , -   , 55 , -   , -   , -   , -   ," 398,338 "," 7,535 "
 Kassala , SD11 ," 179,993 "," 36,317 "," 33,455 ", -   , -   ," 146,538 ", -   , -   , -   , -   , -   , -   , -   , -   ," 176,123 "," 3,870 "
 Khartoum , SD01 ," 46,523 "," 9,340 ", 145 , -   , -   ," 46,378 ", -   , -   , -   , -   , -   , -   , -   , -   ," 46,288 ", 235 
 North Darfur , SD02 ," 470,467 "," 94,032 ", 65 ," 7,940 ", 103 ," 8,886 "," 404,806 ", 425 , -   ," 35,187 ", -   ," 12,945 ", 110 , -   ," 470,349 ", 118 
 North Kordofan , SD13 ," 148,444 "," 29,103 "," 1,628 ", -   , -   ," 123,816 ", -   ," 19,440 ", 210 , -   ," 2,860 ", -   , 365 , 125 ," 148,116 ", 328 
 Northern , SD17 ," 403,020 "," 80,079 "," 7,993 ", -   , -   ," 394,724 ", -   , -   , 303 , -   , -   , -   , -   , -   ," 402,289 ", 731 
 Red Sea , SD10 ," 249,555 "," 49,933 "," 64,018 ", 242 , -   ," 164,807 "," 5,097 "," 5,413 "," 2,173 "," 3,308 "," 3,270 ", 377 , -   , 850 ," 233,764 "," 15,791 "
 River Nile , SD16 ," 711,488 "," 141,530 "," 16,876 ", 65 , -   ," 694,457 ", 50 , 25 , 15 , -   , -   , -   , -   , -   ," 711,473 ", 15 
 Sennar , SD14 ," 434,707 "," 87,064 "," 80,996 ", -   , -   ," 340,585 ", -   , -   ," 13,126 ", -   , -   , -   , -   , -   ," 434,707 ", -   
 South Darfur , SD03 ," 740,793 "," 148,158 ", -   ," 9,365 ", -   ," 16,650 "," 12,350 ", -   , -   ," 697,828 ", -   ," 4,600 ", -   , -   ," 740,793 ", -   
 South Kordofan , SD07 ," 161,178 "," 31,864 "," 2,795 ", -   , -   ," 65,450 ", -   ," 5,035 ", 90 , -   ," 87,679 ", -   , 10 , 119 ," 160,436 ", 742 
 West Darfur , SD04 ," 168,995 "," 33,799 ", -   ," 3,455 ", 165 ," 1,899 ", 311 , -   , -   ," 7,950 ", -   ," 155,215 ", -   , -   ," 168,995 ", -   
 West Kordofan , SD18 ," 136,700 "," 26,933 ", -   , -   , 5 ," 61,358 ", 844 ," 10,081 ", -   , 250 ," 5,523 ", -   ," 58,639 ", -   ," 136,700 ", -   
 White Nile , SD09 ," 505,351 "," 100,536 "," 21,324 ", -   , -   ," 477,797 ", -   , 271 , 55 , -   , -   , -   , -   ," 5,904 "," 414,875 "," 90,476 "
 Grand Total ,," 6,326,416 "," 1,261,060 "," 462,166 "," 288,662 "," 73,758 "," 3,557,494 "," 511,368 "," 44,635 "," 16,002 "," 973,758 "," 99,332 "," 231,087 "," 59,924 "," 8,230 "," 6,206,150 "," 120,266 "
