STATE OF DISPLACEMET,STATE CODE,LOCALITY OF DISPLACEMENT,LOCALITY CODE,IDPs,HHs,Aj Jazirah,Central Darfur,East Darfur,Khartoum,North Darfur,North Kordofan,Sennar,South Darfur,South Kordofan,West Darfur,West Kordofan,White Nile,  SUDANESE  , NON SUDANESE
 Aj Jazirah , SD15 , Al Hasahisa , SD15034 ," 54,483 "," 10,603 "," 8,287 ", -   , -   ," 46,196 ", -   , -   , -   , -   , -   , -   , -   , -   ," 54,483 ", -   
 Aj Jazirah , SD15 , Al Kamlin , SD15035 ," 71,399 "," 14,376 "," 6,029 ", -   , -   ," 65,370 ", -   , -   , -   , -   , -   , -   , -   , -   ," 71,399 ", -   
 Aj Jazirah , SD15 , Al Manaqil , SD15036 ," 47,100 "," 9,426 "," 28,992 ", -   , -   ," 18,108 ", -   , -   , -   , -   , -   , -   , -   , -   ," 47,100 ", -   
 Aj Jazirah , SD15 , Al Qurashi , SD15037 ," 66,908 "," 13,311 "," 34,076 ", -   , -   ," 31,600 ", -   , -   , -   , -   , -   , -   , -   ," 1,232 "," 66,908 ", -   
 Aj Jazirah , SD15 , Janub Al Jazirah , SD15031 ," 23,770 "," 4,443 "," 18,173 ", -   , -   ," 5,597 ", -   , -   , -   , -   , -   , -   , -   , -   ," 23,770 ", -   
 Aj Jazirah , SD15 , Medani Al Kubra , SD15030 ," 22,330 "," 4,466 "," 14,133 ", -   , -   ," 8,197 ", -   , -   , -   , -   , -   , -   , -   , -   ," 22,330 ", -   
 Aj Jazirah , SD15 , Sharg Al Jazirah , SD15033 ," 26,328 "," 5,263 "," 12,113 ", -   , -   ," 14,215 ", -   , -   , -   , -   , -   , -   , -   , -   ," 26,328 ", -   
 Aj Jazirah , SD15 , Um Algura , SD15032 ," 35,131 "," 6,891 "," 27,273 ", -   , -   ," 7,858 ", -   , -   , -   , -   , -   , -   , -   , -   ," 35,131 ", -   
 Blue Nile , SD08 , Al Kurmuk , SD08106 ," 1,060 ", 212 , -   , -   , -   ," 1,060 ", -   , -   , -   , -   , -   , -   , -   , -   ," 1,060 ", -   
 Blue Nile , SD08 , Ar Rusayris , SD08107 ," 34,920 "," 6,984 "," 4,160 ", -   , -   ," 30,705 ", -   , -   , 30 , 25 , -   , -   , -   , -   ," 34,920 ", -   
 Blue Nile , SD08 , At Tadamon - BN , SD08108 ," 1,160 ", 230 , 65 , -   , -   ," 1,095 ", -   , -   , -   , -   , -   , -   , -   , -   ," 1,160 ", -   
 Blue Nile , SD08 , Baw , SD08104 ," 6,475 "," 1,295 ", -   , -   , -   ," 6,475 ", -   , -   , -   , -   , -   , -   , -   , -   ," 6,475 ", -   
 Blue Nile , SD08 , Ed Damazine , SD08105 ," 85,900 "," 17,168 "," 6,510 ", -   , -   ," 79,260 ", -   , 35 , -   , 95 , -   , -   , -   , -   ," 85,475 ", 425 
 Blue Nile , SD08 , Geisan , SD08109 ," 3,210 ", 642 , 772 , -   , -   ," 2,438 ", -   , -   , -   , -   , -   , -   , -   , -   ," 3,210 ", -   
 Blue Nile , SD08 , Wad Al Mahi , SD08110 ," 1,285 ", 257 , -   , -   , -   ," 1,285 ", -   , -   , -   , -   , -   , -   , -   , -   ," 1,285 ", -   
 Central Darfur , SD06 , Azum , SD06110 ," 49,000 "," 9,800 ", -   , -   , -   , -   , -   , -   , -   , -   , -   ," 49,000 ", -   , -   ," 49,000 ", -   
 Central Darfur , SD06 , Gharb Jabal Marrah , SD06131 ," 42,865 "," 8,573 ", -   ," 35,160 ", -   , 205 , -   , -   , -   ," 7,500 ", -   , -   , -   , -   ," 42,865 ", -   
 Central Darfur , SD06 , Mukjar , SD06130 , 900 , 180 , -   , 900 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 900 , -   
 Central Darfur , SD06 , Shamal Jabal Marrah , SD06132 ," 86,245 "," 17,249 ", -   ," 11,980 ", -   ," 1,000 "," 70,785 ", -   , -   ," 2,480 ", -   , -   , -   , -   ," 86,245 ", -   
 Central Darfur , SD06 , Um Dukhun , SD06135 ," 41,700 "," 8,340 ", -   ," 36,375 ", -   , -   , -   , -   , -   ," 3,575 ", -   ," 1,750 ", -   , -   ," 41,700 ", -   
 Central Darfur , SD06 , Wadi Salih , SD06137 ," 18,030 "," 3,606 ", -   ," 16,430 ", -   , -   , -   , -   , -   , 400 , -   ," 1,200 ", -   , -   ," 18,030 ", -   
 Central Darfur , SD06 , Wasat Jabal Marrah , SD06139 ," 78,770 "," 15,754 ", -   ," 68,420 ", -   ," 1,500 "," 2,350 ", -   , -   ," 5,000 ", -   ," 1,500 ", -   , -   ," 78,770 ", -   
 Central Darfur , SD06 , Zalingi , SD06138 ," 102,830 "," 20,566 ", -   ," 98,330 ", -   , -   , -   , -   , -   , -   , -   ," 4,500 ", -   , -   ," 102,830 ", -   
 East Darfur , SD05 , Abu Jabrah , SD05140 ," 44,485 "," 8,897 ", -   , -   ," 1,250 "," 40,610 ", -   , -   , -   ," 2,250 ", -   , -   , 375 , -   ," 44,485 ", -   
 East Darfur , SD05 , Abu Karinka , SD05155 ," 41,915 "," 8,383 ", -   , -   ," 10,000 "," 31,560 ", 330 , -   , -   , 25 , -   , -   , -   , -   ," 41,915 ", -   
 East Darfur , SD05 , Ad Du'ayn , SD05142 ," 130,970 "," 26,194 ", -   , -   ," 15,150 "," 36,025 "," 7,815 "," 3,910 ", -   ," 68,005 ", -   , -   , 65 , -   ," 130,970 ", -   
 East Darfur , SD05 , Adila , SD05139 ," 48,620 "," 9,724 ", -   , -   , 615 ," 44,625 ", -   , -   , -   ," 3,120 ", -   , -   , 260 , -   ," 48,620 ", -   
 East Darfur , SD05 , Al Firdous , SD05152 ," 53,450 "," 10,690 ", -   , -   ," 12,500 "," 33,750 ", -   , -   , -   ," 7,200 ", -   , -   , -   , -   ," 53,450 ", -   
 East Darfur , SD05 , Assalaya , SD05163 ," 19,900 "," 3,980 ", -   , -   ," 15,500 ", -   , -   , -   , -   ," 4,400 ", -   , -   , -   , -   ," 19,900 ", -   
 East Darfur , SD05 , Bahr Al Arab , SD05160 ," 67,020 "," 13,384 ", -   , -   ," 15,500 "," 49,420 ", -   , -   , -   ," 2,000 ", -   , -   , 100 , -   ," 67,020 ", -   
 East Darfur , SD05 , Shia'ria , SD05148 ," 178,485 "," 35,697 ", -   , -   ," 2,745 "," 59,555 "," 6,255 ", -   , -   ," 109,930 ", -   , -   , -   , -   ," 178,485 ", -   
 East Darfur , SD05 , Yassin , SD05165 ," 76,685 "," 15,337 ", -   , -   , 225 ," 63,085 ", 200 , -   , -   ," 13,175 ", -   , -   , -   , -   ," 76,685 ", -   
 Gedaref , SD12 , Al Butanah , SD12073 ," 3,795 ", 761 , 265 , -   , -   ," 3,530 ", -   , -   , -   , -   , -   , -   , -   , -   ," 3,795 ", -   
 Gedaref , SD12 , Al Fao , SD12074 ," 39,197 "," 7,668 "," 14,221 ", -   , -   ," 24,976 ", -   , -   , -   , -   , -   , -   , -   , -   ," 38,947 ", 250 
 Gedaref , SD12 , Al Fashaga , SD12075 ," 22,796 "," 4,581 "," 9,753 ", -   , -   ," 13,043 ", -   , -   , -   , -   , -   , -   , -   , -   ," 22,796 ", -   
 Gedaref , SD12 , Al Galabat Al Gharbyah - Kassab , SD12078 ," 14,330 "," 2,868 "," 2,295 ", -   , -   ," 12,035 ", -   , -   , -   , -   , -   , -   , -   , -   ," 14,330 ", -   
 Gedaref , SD12 , Al Mafaza , SD12082 ," 23,465 "," 4,693 "," 5,095 ", -   , -   ," 18,370 ", -   , -   , -   , -   , -   , -   , -   , -   ," 23,465 ", -   
 Gedaref , SD12 , Al Qureisha , SD12076 ," 21,410 "," 4,282 "," 2,410 ", -   , -   ," 19,000 ", -   , -   , -   , -   , -   , -   , -   , -   ," 21,410 ", -   
 Gedaref , SD12 , AR Rahad , SD12084 ," 45,555 "," 9,111 "," 6,275 ", -   , -   ," 39,280 ", -   , -   , -   , -   , -   , -   , -   , -   ," 45,555 ", -   
 Gedaref , SD12 , Basundah , SD12077 ," 21,482 "," 4,120 "," 5,917 ", -   , -   ," 15,335 ", 175 , -   , -   , 55 , -   , -   , -   , -   ," 21,482 ", -   
 Gedaref , SD12 , Gala'a Al Nahal , SD12079 ," 12,202 "," 2,440 ", -   , -   , -   ," 12,202 ", -   , -   , -   , -   , -   , -   , -   , -   ," 12,202 ", -   
 Gedaref , SD12 , Galabat Ash-Shargiah , SD12083 ," 52,570 "," 10,510 "," 7,645 ", -   , -   ," 44,925 ", -   , -   , -   , -   , -   , -   , -   , -   ," 52,570 ", -   
 Gedaref , SD12 , Madeinat Al Gedaref , SD12080 ," 127,259 "," 25,186 "," 15,695 ", -   , -   ," 111,564 ", -   , -   , -   , -   , -   , -   , -   , -   ," 127,259 ", -   
 Gedaref , SD12 , Wasat Al Gedaref , SD12081 ," 21,812 "," 4,231 "," 2,717 ", -   , -   ," 19,095 ", -   , -   , -   , -   , -   , -   , -   , -   ," 14,527 "," 7,285 "
 Kassala , SD11 , Halfa Aj Jadeedah , SD11052 ," 49,860 "," 9,974 "," 2,690 ", -   , -   ," 47,170 ", -   , -   , -   , -   , -   , -   , -   , -   ," 49,160 ", 700 
 Kassala , SD11 , Madeinat Kassala , SD11053 ," 106,017 "," 21,517 "," 27,150 ", -   , -   ," 78,867 ", -   , -   , -   , -   , -   , -   , -   , -   ," 102,847 "," 3,170 "
 Kassala , SD11 , Reifi Aroma , SD11055 ," 1,565 ", 313 , 520 , -   , -   ," 1,045 ", -   , -   , -   , -   , -   , -   , -   , -   ," 1,565 ", -   
 Kassala , SD11 , Reifi Gharb Kassala , SD11054 , 20 , 4 , 20 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 20 , -   
 Kassala , SD11 , Reifi Hamashkureib , SD11058 , 565 , 113 , 350 , -   , -   , 215 , -   , -   , -   , -   , -   , -   , -   , -   , 565 , -   
 Kassala , SD11 , Reifi Kassla , SD11056 ," 3,765 ", 748 ," 1,145 ", -   , -   ," 2,620 ", -   , -   , -   , -   , -   , -   , -   , -   ," 3,765 ", -   
 Kassala , SD11 , Reifi Khashm Elgirba , SD11060 ," 8,209 "," 1,631 ", -   , -   , -   ," 8,209 ", -   , -   , -   , -   , -   , -   , -   , -   ," 8,209 ", -   
 Kassala , SD11 , Reifi Nahr Atbara , SD11062 ," 3,717 ", 762 , 150 , -   , -   ," 3,567 ", -   , -   , -   , -   , -   , -   , -   , -   ," 3,717 ", -   
 Kassala , SD11 , Reifi Shamal Ad Delta , SD11057 ," 3,965 ", 793 , 550 , -   , -   ," 3,415 ", -   , -   , -   , -   , -   , -   , -   , -   ," 3,965 ", -   
 Kassala , SD11 , Reifi Telkok , SD11059 ," 2,310 ", 462 , 880 , -   , -   ," 1,430 ", -   , -   , -   , -   , -   , -   , -   , -   ," 2,310 ", -   
 Khartoum , SD01 , Bahri , SD01003 ," 10,520 "," 2,113 ", -   , -   , -   ," 10,520 ", -   , -   , -   , -   , -   , -   , -   , -   ," 10,515 ", 5 
 Khartoum , SD01 , Jebel Awlia , SD01001 ," 1,855 ", 371 , 30 , -   , -   ," 1,825 ", -   , -   , -   , -   , -   , -   , -   , -   ," 1,745 ", 110 
 Khartoum , SD01 , Karrari , SD01005 ," 12,387 "," 2,489 ", 15 , -   , -   ," 12,372 ", -   , -   , -   , -   , -   , -   , -   , -   ," 12,352 ", 35 
 Khartoum , SD01 , Khartoum , SD01007 , 780 , 156 , -   , -   , -   , 780 , -   , -   , -   , -   , -   , -   , -   , -   , 780 , -   
 Khartoum , SD01 , Sharg An Neel , SD01004 ," 7,930 "," 1,591 ", 75 , -   , -   ," 7,855 ", -   , -   , -   , -   , -   , -   , -   , -   ," 7,925 ", 5 
 Khartoum , SD01 , Um Bada , SD01002 ," 6,685 "," 1,347 ", 25 , -   , -   ," 6,660 ", -   , -   , -   , -   , -   , -   , -   , -   ," 6,675 ", 10 
 Khartoum , SD01 , Um Durman , SD01006 ," 6,366 "," 1,273 ", -   , -   , -   ," 6,366 ", -   , -   , -   , -   , -   , -   , -   , -   ," 6,296 ", 70 
