STATE OF DISPLACEMET,STATE CODE,IDPs,HHs,Aj Jazirah,Central Darfur,East Darfur,Khartoum,North Darfur,North Kordofan,Sennar,South Darfur,South Kordofan,West Darfur,West Kordofan,White Nile,  SUDANESE  , NON SUDANESE
Aj Jazirah,SD15," 77,285 "," 389,881 "," 192,181 ", -   , -   ," 196,468 ", -   , -   , -   , -   , -   , -   , -   ," 1,232 "," 389,881 ", -   
Blue Nile,SD08," 26,283 "," 131,474 "," 10,847 ", -   , -   ," 120,627 ", -   , -   , -   , -   , -   , -   , -   , -   ," 131,049 ", 425 
Central Darfur,SD06," 74,787 "," 373,935 ", -   ," 230,540 ", -   ," 1,205 "," 70,785 ", -   , -   ," 16,655 ", -   ," 54,750 ", -   , -   ," 373,935 ", -   
East Darfur,SD05," 132,146 "," 660,830 ", -   , -   ," 73,335 "," 358,630 "," 14,600 "," 3,910 ", -   ," 210,105 ", -   , -   , 250 , -   ," 660,830 ", -   
Gedaref,SD12," 74,887 "," 377,643 "," 56,335 ", -   , -   ," 321,078 ", 175 , -   , -   , 55 , -   , -   , -   , -   ," 370,108 "," 7,535 "
Kassala,SD11," 33,272 "," 166,228 "," 21,395 ", -   , -   ," 144,833 ", -   , -   , -   , -   , -   , -   , -   , -   ," 162,358 "," 3,870 "
Khartoum,SD01," 8,942 "," 44,769 ", 145 , -   , -   ," 44,624 ", -   , -   , -   , -   , -   , -   , -   , -   ," 44,534 ", 235 
North Darfur,SD02," 91,975 "," 460,188 ", -   ," 7,900 ", 30 ," 8,725 "," 396,261 ", 275 , -   ," 34,057 ", -   ," 12,940 ", -   , -   ," 460,140 ", 48 
North Kordofan,SD13," 28,827 "," 147,095 "," 1,373 ", -   , -   ," 123,637 ", -   ," 18,805 ", 210 , -   ," 2,580 ", -   , 365 , 125 ," 146,767 ", 328 
Northern,SD17," 80,009 "," 402,675 "," 10,865 ", -   , -   ," 391,507 ", -   , -   , 303 , -   , -   , -   , -   , -   ," 401,944 ", 731 
Red Sea,SD10," 47,884 "," 239,027 "," 59,051 ", 242 , -   ," 160,317 "," 4,972 "," 4,960 "," 1,955 "," 3,223 "," 3,210 ", 377 , -   , 720 ," 223,080 "," 15,947 "
River Nile,SD16," 139,267 "," 700,827 "," 16,132 ", 65 , -   ," 684,540 ", 50 , 25 , 15 , -   , -   , -   , -   , -   ," 700,367 ", 460 
Sennar,SD14," 86,848 "," 434,627 "," 78,888 ", -   , -   ," 342,985 ", -   , -   ," 12,754 ", -   , -   , -   , -   , -   ," 434,627 ", -   
South Darfur,SD03," 140,623 "," 703,118 ", -   ," 7,365 ", -   ," 16,150 "," 10,145 ", -   , -   ," 664,858 ", -   ," 4,600 ", -   , -   ," 703,118 ", -   
South Kordofan,SD07," 25,012 "," 127,637 "," 2,072 ", -   , -   ," 65,824 ", -   ," 4,700 ", -   , -   ," 54,932 ", -   , -   , 109 ," 126,895 ", 742 
West Darfur,SD04," 25,708 "," 128,540 ", -   ," 3,450 ", 165 ," 1,899 ", 311 , -   , -   ," 6,895 ", -   ," 115,820 ", -   , -   ," 128,540 ", -   
West Kordofan,SD18," 19,813 "," 101,030 ", -   , -   , 5 ," 66,199 ", 844 ," 9,769 ", -   , 586 ," 2,413 ", 10 ," 21,204 ", -   ," 101,030 ", -   
White Nile,SD09," 100,115 "," 503,264 "," 20,928 ", -   , -   ," 476,131 ", -   , 246 , 55 , -   , -   , -   , -   ," 5,904 "," 412,788 "," 90,476 "
 Grand Total ,," 1,213,683 "," 6,092,788 "," 470,212 "," 249,562 "," 73,535 "," 3,525,379 "," 498,143 "," 42,690 "," 15,292 "," 936,434 "," 63,135 "," 188,497 "," 21,819 "," 8,090 "," 5,971,991 "," 120,797 "
