STATE OF DISPLACEMET,STATE CODE,LOCALITY OF DISPLACEMENT,LOCALITY_ CODE,IDPs,HHs, Aj Jazirah, Central Darfur, East Darfur, Khartoum, North Darfur, North Kordofan, Sennar, South Darfur, South Kordofan, West Darfur, West Kordofan, White Nile,  SUDANESE  , NON SUDANESE
Aj Jazirah,SD15,Al Hasahisa,SD15034," 10,475 "," 53,901 "," 8,776 ", -   , -   ," 45,125 ", -   , -   , -   , -   , -   , -   , -   , -   ," 53,901 ", -   
Aj Jazirah,SD15,Al Kamlin,SD15035," 14,376 "," 71,399 "," 6,029 ", -   , -   ," 65,370 ", -   , -   , -   , -   , -   , -   , -   , -   ," 71,399 ", -   
Aj Jazirah,SD15,Al Manaqil,SD15036," 9,549 "," 47,700 "," 29,157 ", -   , -   ," 18,543 ", -   , -   , -   , -   , -   , -   , -   , -   ," 47,700 ", -   
Aj Jazirah,SD15,Al Qurashi,SD15037," 17,747 "," 88,955 "," 56,332 ", -   , -   ," 31,391 ", -   , -   , -   , -   , -   , -   , -   ," 1,232 "," 88,955 ", -   
Aj Jazirah,SD15,Janub Al Jazirah,SD15031," 4,441 "," 23,703 "," 18,227 ", -   , -   ," 5,476 ", -   , -   , -   , -   , -   , -   , -   , -   ," 23,703 ", -   
Aj Jazirah,SD15,Medani Al Kubra,SD15030," 4,436 "," 22,180 "," 14,083 ", -   , -   ," 8,097 ", -   , -   , -   , -   , -   , -   , -   , -   ," 22,180 ", -   
Aj Jazirah,SD15,Sharg Al Jazirah,SD15033," 5,263 "," 26,328 "," 12,113 ", -   , -   ," 14,215 ", -   , -   , -   , -   , -   , -   , -   , -   ," 26,328 ", -   
Aj Jazirah,SD15,Um Algura,SD15032," 10,998 "," 55,715 "," 47,464 ", -   , -   ," 8,251 ", -   , -   , -   , -   , -   , -   , -   , -   ," 55,715 ", -   
Blue Nile,SD08,Al Kurmuk,SD08106, 212 ," 1,060 ", -   , -   , -   ," 1,060 ", -   , -   , -   , -   , -   , -   , -   , -   ," 1,060 ", -   
Blue Nile,SD08,Ar Rusayris,SD08107," 7,251 "," 36,255 "," 4,075 ", -   , -   ," 32,180 ", -   , -   , -   , -   , -   , -   , -   , -   ," 36,255 ", -   
Blue Nile,SD08,At Tadamon - BN,SD08108, 268 ," 1,339 ", -   , -   , -   ," 1,339 ", -   , -   , -   , -   , -   , -   , -   , -   ," 1,339 ", -   
Blue Nile,SD08,Baw,SD08104," 1,223 "," 6,115 ", -   , -   , -   ," 6,115 ", -   , -   , -   , -   , -   , -   , -   , -   ," 6,115 ", -   
Blue Nile,SD08,Ed Damazine,SD08105," 16,570 "," 82,910 "," 6,700 ", -   , -   ," 76,210 ", -   , -   , -   , -   , -   , -   , -   , -   ," 82,485 ", 425 
Blue Nile,SD08,Geisan,SD08109, 502 ," 2,510 ", 72 , -   , -   ," 2,438 ", -   , -   , -   , -   , -   , -   , -   , -   ," 2,510 ", -   
Blue Nile,SD08,Wad Al Mahi,SD08110, 257 ," 1,285 ", -   , -   , -   ," 1,285 ", -   , -   , -   , -   , -   , -   , -   , -   ," 1,285 ", -   
Central Darfur,SD06,Azum,SD06110," 9,800 "," 49,000 ", -   , -   , -   , -   , -   , -   , -   , -   , -   ," 49,000 ", -   , -   ," 49,000 ", -   
Central Darfur,SD06,Gharb Jabal Marrah,SD06131," 6,600 "," 33,000 ", -   ," 25,295 ", -   , 205 , -   , -   , -   ," 7,500 ", -   , -   , -   , -   ," 33,000 ", -   
Central Darfur,SD06,Mukjar,SD06130, 180 , 900 , -   , 900 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 900 , -   
Central Darfur,SD06,Shamal Jabal Marrah,SD06132," 16,015 "," 80,075 ", -   ," 5,810 ", -   ," 1,000 "," 70,785 ", -   , -   ," 2,480 ", -   , -   , -   , -   ," 80,075 ", -   
Central Darfur,SD06,Um Dukhun,SD06135," 8,340 "," 41,700 ", -   ," 36,375 ", -   , -   , -   , -   , -   ," 3,575 ", -   ," 1,750 ", -   , -   ," 41,700 ", -   
Central Darfur,SD06,Wadi Salih,SD06137," 1,036 "," 5,180 ", -   ," 5,180 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 5,180 ", -   
Central Darfur,SD06,Wasat Jabal Marrah,SD06139," 4,780 "," 23,900 ", -   ," 20,800 ", -   , -   , -   , -   , -   ," 3,100 ", -   , -   , -   , -   ," 23,900 ", -   
Central Darfur,SD06,Zalingi,SD06138," 28,036 "," 140,180 ", -   ," 136,180 ", -   , -   , -   , -   , -   , -   , -   ," 4,000 ", -   , -   ," 140,180 ", -   
East Darfur,SD05,Abu Jabrah,SD05140," 8,872 "," 44,360 ", -   , -   ," 1,250 "," 40,610 ", -   , -   , -   ," 2,250 ", -   , -   , 250 , -   ," 44,360 ", -   
East Darfur,SD05,Abu Karinka,SD05155," 8,383 "," 41,915 ", -   , -   ," 10,000 "," 31,560 ", 330 , -   , -   , 25 , -   , -   , -   , -   ," 41,915 ", -   
East Darfur,SD05,Ad Du'ayn,SD05142," 26,151 "," 130,755 ", -   , -   ," 15,000 "," 36,025 "," 7,815 "," 3,910 ", -   ," 68,005 ", -   , -   , -   , -   ," 130,755 ", -   
East Darfur,SD05,Adila,SD05139," 9,672 "," 48,360 ", -   , -   , 615 ," 44,625 ", -   , -   , -   ," 3,120 ", -   , -   , -   , -   ," 48,360 ", -   
East Darfur,SD05,Al Firdous,SD05152," 10,690 "," 53,450 ", -   , -   ," 12,500 "," 33,750 ", -   , -   , -   ," 7,200 ", -   , -   , -   , -   ," 53,450 ", -   
East Darfur,SD05,Assalaya,SD05163," 3,980 "," 19,900 ", -   , -   ," 15,500 ", -   , -   , -   , -   ," 4,400 ", -   , -   , -   , -   ," 19,900 ", -   
East Darfur,SD05,Bahr Al Arab,SD05160," 13,364 "," 66,920 ", -   , -   ," 15,500 "," 49,420 ", -   , -   , -   ," 2,000 ", -   , -   , -   , -   ," 66,920 ", -   
East Darfur,SD05,Shia'ria,SD05148," 35,697 "," 178,485 ", -   , -   ," 2,745 "," 59,555 "," 6,255 ", -   , -   ," 109,930 ", -   , -   , -   , -   ," 178,485 ", -   
East Darfur,SD05,Yassin,SD05165," 15,337 "," 76,685 ", -   , -   , 225 ," 63,085 ", 200 , -   , -   ," 13,175 ", -   , -   , -   , -   ," 76,685 ", -   
Gedaref,SD12,Al Butanah,SD12073, 761 ," 3,795 ", 265 , -   , -   ," 3,530 ", -   , -   , -   , -   , -   , -   , -   , -   ," 3,795 ", -   
Gedaref,SD12,Al Fao,SD12074," 7,668 "," 39,197 "," 14,221 ", -   , -   ," 24,976 ", -   , -   , -   , -   , -   , -   , -   , -   ," 38,947 ", 250 
Gedaref,SD12,Al Fashaga,SD12075," 3,476 "," 17,505 "," 5,379 ", -   , -   ," 12,126 ", -   , -   , -   , -   , -   , -   , -   , -   ," 17,505 ", -   
Gedaref,SD12,Al Galabat Al Gharbyah - Kassab,SD12078," 2,748 "," 13,730 "," 1,695 ", -   , -   ," 12,035 ", -   , -   , -   , -   , -   , -   , -   , -   ," 13,730 ", -   
Gedaref,SD12,Al Mafaza,SD12082," 4,693 "," 23,465 "," 5,095 ", -   , -   ," 18,370 ", -   , -   , -   , -   , -   , -   , -   , -   ," 23,465 ", -   
Gedaref,SD12,Al Qureisha,SD12076," 3,988 "," 19,940 "," 1,420 ", -   , -   ," 18,520 ", -   , -   , -   , -   , -   , -   , -   , -   ," 19,940 ", -   
Gedaref,SD12,AR Rahad,SD12084," 9,111 "," 45,555 "," 6,275 ", -   , -   ," 39,280 ", -   , -   , -   , -   , -   , -   , -   , -   ," 45,555 ", -   
Gedaref,SD12,Basundah,SD12077," 3,620 "," 18,338 "," 3,338 ", -   , -   ," 14,770 ", 175 , -   , -   , 55 , -   , -   , -   , -   ," 18,338 ", -   
Gedaref,SD12,Gala'a Al Nahal,SD12079," 2,440 "," 12,202 ", -   , -   , -   ," 12,202 ", -   , -   , -   , -   , -   , -   , -   , -   ," 12,202 ", -   
Gedaref,SD12,Galabat Ash-Shargiah,SD12083," 8,851 "," 44,275 "," 4,520 ", -   , -   ," 39,755 ", -   , -   , -   , -   , -   , -   , -   , -   ," 44,275 ", -   
Gedaref,SD12,Madeinat Al Gedaref,SD12080," 23,300 "," 117,829 "," 11,410 ", -   , -   ," 106,419 ", -   , -   , -   , -   , -   , -   , -   , -   ," 117,829 ", -   
Gedaref,SD12,Wasat Al Gedaref,SD12081," 4,231 "," 21,812 "," 2,717 ", -   , -   ," 19,095 ", -   , -   , -   , -   , -   , -   , -   , -   ," 14,527 "," 7,285 "
Kassala,SD11,Halfa Aj Jadeedah,SD11052," 9,543 "," 47,705 "," 2,240 ", -   , -   ," 45,465 ", -   , -   , -   , -   , -   , -   , -   , -   ," 47,005 ", 700 
Kassala,SD11,Madeinat Kassala,SD11053," 19,072 "," 95,252 "," 16,385 ", -   , -   ," 78,867 ", -   , -   , -   , -   , -   , -   , -   , -   ," 92,082 "," 3,170 "
Kassala,SD11,Reifi Aroma,SD11055, 313 ," 1,565 ", 520 , -   , -   ," 1,045 ", -   , -   , -   , -   , -   , -   , -   , -   ," 1,565 ", -   
Kassala,SD11,Reifi Gharb Kassala,SD11054, 4 , 20 , 20 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 20 , -   
Kassala,SD11,Reifi Hamashkureib,SD11058, 113 , 565 , 350 , -   , -   , 215 , -   , -   , -   , -   , -   , -   , -   , -   , 565 , -   
Kassala,SD11,Reifi Kassla,SD11056, 579 ," 2,920 ", 300 , -   , -   ," 2,620 ", -   , -   , -   , -   , -   , -   , -   , -   ," 2,920 ", -   
