STATE OF DISPLACEMET,STATE CODE,IDPs,HHs,Aj Jazirah,Central Darfur,East Darfur,Khartoum,North Darfur,North Kordofan,Sennar,South Darfur,South Kordofan,West Darfur,West Kordofan,White Nile,  SUDANESE  , NON SUDANESE
Aj Jazirah,SD15,355356,70184,157346,0,0,196778,0,0,0,0,0,0,0,1232,355356,0
Blue Nile,SD08,134301,26856,11476,0,0,121375,5,35,595,135,645,0,0,35,133806,495
Central Darfur,SD06,428180,85636,0,271285,0,2755,73135,0,0,19355,0,61650,0,0,428180,0
East Darfur,SD05,664265,132833,0,0,75335,358630,14600,3910,0,210105,0,0,1685,0,664265,0
Gedaref,SD12,429171,85207,88699,0,0,338270,1557,350,0,295,0,0,0,0,421636,7535
Kassala,SD11,193709,39011,47276,0,0,146433,0,0,0,0,0,0,0,0,189839,3870
Khartoum,SD01,54355,10805,1425,0,0,52930,0,0,0,0,0,0,0,0,54120,235
North Darfur,SD02,531892,106317,65,7940,208,8901,466040,425,0,35223,0,12945,145,0,531774,118
North Kordofan,SD13,151292,29723,1673,0,0,122675,0,22559,235,0,3660,0,365,125,150964,328
Northern,SD17,404660,80610,9370,0,0,394987,0,0,303,0,0,0,0,0,403929,731
Red Sea,SD10,247012,49501,63631,146,0,162661,5091,5393,2256,3320,3258,381,0,875,231713,15299
River Nile,SD16,706906,143509,17114,65,0,689530,157,25,15,0,0,0,0,0,706906,0
Sennar,SD14,496087,98539,103767,0,0,353462,0,0,38858,0,0,0,0,0,496087,0
South Darfur,SD03,744823,148964,0,9365,0,16650,12350,0,0,701858,0,4600,0,0,744823,0
South Kordofan,SD07,174483,34510,2875,0,0,65246,0,5125,105,0,100958,0,30,144,173741,742
West Darfur,SD04,171795,34359,0,3520,1685,2614,311,0,0,8425,0,155240,0,0,171795,0
West Kordofan,SD18,138096,27170,0,0,5,61370,845,10599,0,250,5523,0,59504,0,138096,0
White Nile,SD09,525735,104883,50865,0,0,467802,0,269,55,0,0,0,0,6744,435897,89838
 Grand Total ,," 6,552,118 "," 1,308,617 "," 555,582 "," 292,321 "," 77,233 "," 3,563,069 "," 574,091 "," 48,690 "," 42,422 "," 978,966 "," 114,044 "," 234,816 "," 61,729 "," 9,155 "," 6,432,927 "," 119,191 "
