STATE OF DISPLACEMET,STATE CODE,LOCALITY OF DISPLACEMENT,LOCALITY CODE,IDPs,HHs,Aj Jazirah,Central Darfur,East Darfur,Khartoum,North Darfur,North Kordofan,Sennar,South Darfur,South Kordofan,West Darfur,West Kordofan,White Nile,  SUDANESE  , NON SUDANESE
Aj Jazirah,SD15,Al Hasahisa,SD15034,56155,10935,11562,0,0,44593,0,0,0,0,0,0,0,0,56155,0
Aj Jazirah,SD15,Al Kamlin,SD15035,67437,13418,5934,0,0,61503,0,0,0,0,0,0,0,0,67437,0
Aj Jazirah,SD15,Al Manaqil,SD15036,47034,9401,28992,0,0,18042,0,0,0,0,0,0,0,0,47034,0
Aj Jazirah,SD15,Al Qurashi,SD15037,71983,14339,39151,0,0,31600,0,0,0,0,0,0,0,1232,71983,0
Aj Jazirah,SD15,Janub Al Jazirah,SD15031,23698,4419,18173,0,0,5525,0,0,0,0,0,0,0,0,23698,0
Aj Jazirah,SD15,Medani Al Kubra,SD15030,22155,4431,14133,0,0,8022,0,0,0,0,0,0,0,0,22155,0
Aj Jazirah,SD15,Sharg Al Jazirah,SD15033,31763,6350,12128,0,0,19635,0,0,0,0,0,0,0,0,31763,0
Aj Jazirah,SD15,Um Algura,SD15032,35131,6891,27273,0,0,7858,0,0,0,0,0,0,0,0,35131,0
Blue Nile,SD08,Al Kurmuk,SD08106,1060,212,0,0,0,1060,0,0,0,0,0,0,0,0,1060,0
Blue Nile,SD08,Ar Rusayris,SD08107,33841,6782,2786,0,0,30290,0,0,65,20,645,0,0,35,33841,0
Blue Nile,SD08,At Tadamon - BN,SD08108,2530,506,380,0,0,1700,0,0,450,0,0,0,0,0,2530,0
Blue Nile,SD08,Baw,SD08104,8155,1631,1620,0,0,6535,0,0,0,0,0,0,0,0,8155,0
Blue Nile,SD08,Ed Damazine,SD08105,84635,16909,5868,0,0,78532,5,35,80,115,0,0,0,0,84140,495
Blue Nile,SD08,Geisan,SD08109,2795,559,822,0,0,1973,0,0,0,0,0,0,0,0,2795,0
Blue Nile,SD08,Wad Al Mahi,SD08110,1285,257,0,0,0,1285,0,0,0,0,0,0,0,0,1285,0
Central Darfur,SD06,Azum,SD06110,52700,10540,0,0,0,0,0,0,0,0,0,52700,0,0,52700,0
Central Darfur,SD06,Gharb Jabal Marrah,SD06131,42865,8573,0,35160,0,205,0,0,0,7500,0,0,0,0,42865,0
Central Darfur,SD06,Mukjar,SD06130,2625,525,0,2625,0,0,0,0,0,0,0,0,0,0,2625,0
Central Darfur,SD06,Shamal Jabal Marrah,SD06132,86495,17299,0,11980,0,1050,70785,0,0,2680,0,0,0,0,86495,0
Central Darfur,SD06,Um Dukhun,SD06135,41900,8380,0,36375,0,0,0,0,0,3775,0,1750,0,0,41900,0
Central Darfur,SD06,Wadi Salih,SD06137,18030,3606,0,16430,0,0,0,0,0,400,0,1200,0,0,18030,0
Central Darfur,SD06,Wasat Jabal Marrah,SD06139,80735,16147,0,70385,0,1500,2350,0,0,5000,0,1500,0,0,80735,0
Central Darfur,SD06,Zalingi,SD06138,102830,20566,0,98330,0,0,0,0,0,0,0,4500,0,0,102830,0
East Darfur,SD05,Abu Jabrah,SD05140,44775,8955,0,0,1250,40610,0,0,0,2250,0,0,665,0,44775,0
East Darfur,SD05,Abu Karinka,SD05155,41915,8383,0,0,10000,31560,330,0,0,25,0,0,0,0,41915,0
East Darfur,SD05,Ad Du'ayn,SD05142,132820,26564,0,0,17000,36025,7815,3910,0,68005,0,0,65,0,132820,0
East Darfur,SD05,Adila,SD05139,49015,9803,0,0,615,44625,0,0,0,3120,0,0,655,0,49015,0
East Darfur,SD05,Al Firdous,SD05152,53450,10690,0,0,12500,33750,0,0,0,7200,0,0,0,0,53450,0
East Darfur,SD05,Assalaya,SD05163,19900,3980,0,0,15500,0,0,0,0,4400,0,0,0,0,19900,0
East Darfur,SD05,Bahr Al Arab,SD05160,67220,13424,0,0,15500,49420,0,0,0,2000,0,0,300,0,67220,0
East Darfur,SD05,Shia'ria,SD05148,178485,35697,0,0,2745,59555,6255,0,0,109930,0,0,0,0,178485,0
East Darfur,SD05,Yassin,SD05165,76685,15337,0,0,225,63085,200,0,0,13175,0,0,0,0,76685,0
Gedaref,SD12,Al Butanah,SD12073,3795,761,265,0,0,3530,0,0,0,0,0,0,0,0,3795,0
Gedaref,SD12,Al Fao,SD12074,39197,7668,14221,0,0,24976,0,0,0,0,0,0,0,0,38947,250
Gedaref,SD12,Al Fashaga,SD12075,22796,4581,9301,0,0,13233,262,0,0,0,0,0,0,0,22796,0
Gedaref,SD12,Al Galabat Al Gharbyah - Kassab,SD12078,18115,3663,4875,0,0,11960,690,350,0,240,0,0,0,0,18115,0
Gedaref,SD12,Al Mafaza,SD12082,30605,6121,9635,0,0,20970,0,0,0,0,0,0,0,0,30605,0
Gedaref,SD12,Al Qureisha,SD12076,26695,5339,6168,0,0,20355,172,0,0,0,0,0,0,0,26695,0
Gedaref,SD12,AR Rahad,SD12084,45555,9111,6275,0,0,39280,0,0,0,0,0,0,0,0,45555,0
Gedaref,SD12,Basundah,SD12077,25059,4851,8591,0,0,15980,433,0,0,55,0,0,0,0,25059,0
Gedaref,SD12,Gala'a Al Nahal,SD12079,12202,2440,0,0,0,12202,0,0,0,0,0,0,0,0,12202,0
Gedaref,SD12,Galabat Ash-Shargiah,SD12083,52570,10510,7645,0,0,44925,0,0,0,0,0,0,0,0,52570,0
Gedaref,SD12,Madeinat Al Gedaref,SD12080,128759,25486,17195,0,0,111564,0,0,0,0,0,0,0,0,128759,0
Gedaref,SD12,Wasat Al Gedaref,SD12081,23823,4676,4528,0,0,19295,0,0,0,0,0,0,0,0,16538,7285
Kassala,SD11,Halfa Aj Jadeedah,SD11052,51176,10240,4006,0,0,47170,0,0,0,0,0,0,0,0,50476,700
Kassala,SD11,Madeinat Kassala,SD11053,118002,23862,38890,0,0,79112,0,0,0,0,0,0,0,0,114832,3170
Kassala,SD11,Reifi Aroma,SD11055,1565,313,520,0,0,1045,0,0,0,0,0,0,0,0,1565,0
Kassala,SD11,Reifi Gharb Kassala,SD11054,20,4,20,0,0,0,0,0,0,0,0,0,0,0,20,0
Kassala,SD11,Reifi Hamashkureib,SD11058,630,127,415,0,0,215,0,0,0,0,0,0,0,0,630,0
Kassala,SD11,Reifi Kassla,SD11056,3765,748,1145,0,0,2620,0,0,0,0,0,0,0,0,3765,0
Kassala,SD11,Reifi Khashm Elgirba,SD11060,8209,1631,0,0,0,8209,0,0,0,0,0,0,0,0,8209,0
Kassala,SD11,Reifi Nahr Atbara,SD11062,4067,831,850,0,0,3217,0,0,0,0,0,0,0,0,4067,0
Kassala,SD11,Reifi Shamal Ad Delta,SD11057,3965,793,550,0,0,3415,0,0,0,0,0,0,0,0,3965,0
Kassala,SD11,Reifi Telkok,SD11059,2310,462,880,0,0,1430,0,0,0,0,0,0,0,0,2310,0
Khartoum,SD01,Bahri,SD01003,11595,2322,0,0,0,11595,0,0,0,0,0,0,0,0,11590,5
Khartoum,SD01,Jebel Awlia,SD01001,3110,618,30,0,0,3080,0,0,0,0,0,0,0,0,3000,110
Khartoum,SD01,Karrari,SD01005,13319,2680,15,0,0,13304,0,0,0,0,0,0,0,0,13284,35
Khartoum,SD01,Khartoum,SD01007,1260,252,0,0,0,1260,0,0,0,0,0,0,0,0,1260,0
Khartoum,SD01,Sharg An Neel,SD01004,10220,2017,1355,0,0,8865,0,0,0,0,0,0,0,0,10215,5
