STATE OF DISPLACEMET,STATE_CODE,IDPs,HHS, Aj Jazirah, Central Darfur, East Darfur, Khartoum, North Darfur, North Kordofan, South Darfur, South Kordofan, West Darfur, SUDANESE, NON SUDANESE
Aj Jazirah,SD15,445565,86383,425,0,0,445140,0,0,0,0,0,445565,0
Blue Nile,SD08,56682,11328,0,0,0,56682,0,0,0,0,0,56237,445
Central Darfur,SD06,354795,70959,0,215530,0,1205,70785,0,12525,0,54750,354795,0
East Darfur,SD05,602455,120471,0,0,63500,358480,8640,3910,167925,0,0,602455,0
Gedaref,SD12,275286,54831,0,0,0,275286,0,0,0,0,0,267751,7535
Kassala,SD11,115857,23181,0,0,0,115857,0,0,0,0,0,110427,5430
Khartoum,SD01,41538,8100,0,0,0,41538,0,0,0,0,0,41273,265
North Darfur,SD02,430048,85979,0,7890,0,8555,367836,105,33207,0,12455,430048,0
North Kordofan,SD13,119734,23409,0,0,0,106328,0,12328,0,1078,0,119424,310
Northern,SD17,353203,71262,0,0,0,353203,0,0,0,0,0,352548,655
Red Sea,SD10,129785,25965,0,0,0,129785,0,0,0,0,0,114562,15223
River Nile,SD16,611892,122120,0,0,0,611892,0,0,0,0,0,611372,520
Sennar,SD14,348979,69698,0,0,0,348979,0,0,0,0,0,348979,0
South Darfur,SD03,680523,136103,0,7365,0,15625,10080,0,643103,0,4350,680523,0
South Kordofan,SD07,101971,19859,0,0,0,66687,0,3509,0,31775,0,101259,712
West Darfur,SD04,120640,24128,0,2550,160,999,286,0,700,0,115945,120640,0
West Kordofan,SD18,74122,14606,0,0,0,62148,748,8437,366,2413,10,74122,0
White Nile,SD09,430547,85330,0,0,0,430547,0,0,0,0,0,339646,90901
