STATE OF DISPLACEMET,STATE CODE,LOCALITY OF DISPLACEMENT,LOCALITY_ CODE, IDPs , HHs ,  Aj Jazirah ,  Central Darfur ,  East Darfur ,  Khartoum ,  North Darfur ,  North Kordofan ,  South Darfur ,  South Kordofan ,  West Darfur ,  SUDANESE , NON SUDANESE
Aj Jazirah,SD15,Al Hasahisa,SD15034," 91,271 "," 16,535 ", -   , -   , -   ," 91,271 ", -   , -   , -   , -   , -   ," 91,271 ",0
Aj Jazirah,SD15,Al Kamlin,SD15035," 85,126 "," 16,943 ", 425 , -   , -   ," 84,701 ", -   , -   , -   , -   , -   ," 85,126 ",0
Aj Jazirah,SD15,Al Manaqil,SD15036," 36,562 "," 7,342 ", -   , -   , -   ," 36,562 ", -   , -   , -   , -   , -   ," 36,562 ",0
Aj Jazirah,SD15,Al Qurashi,SD15037," 26,120 "," 5,084 ", -   , -   , -   ," 26,120 ", -   , -   , -   , -   , -   ," 26,120 ",0
Aj Jazirah,SD15,Janub Al Jazirah,SD15031," 40,218 "," 7,842 ", -   , -   , -   ," 40,218 ", -   , -   , -   , -   , -   ," 40,218 ",0
Aj Jazirah,SD15,Medani Al Kubra,SD15030," 86,453 "," 16,848 ", -   , -   , -   ," 86,453 ", -   , -   , -   , -   , -   ," 86,453 ",0
Aj Jazirah,SD15,Sharg Al Jazirah,SD15033," 37,440 "," 7,409 ", -   , -   , -   ," 37,440 ", -   , -   , -   , -   , -   ," 37,440 ",0
Aj Jazirah,SD15,Um Algura,SD15032," 42,375 "," 8,380 ", -   , -   , -   ," 42,375 ", -   , -   , -   , -   , -   ," 42,375 ",0
Blue Nile,SD08,Al Kurmuk,SD08106, 260 , 52 , -   , -   , -   , 260 , -   , -   , -   , -   , -   , 260 ,0
Blue Nile,SD08,Ar Rusayris,SD08107," 17,905 "," 3,581 ", -   , -   , -   ," 17,905 ", -   , -   , -   , -   , -   ," 17,905 ",0
Blue Nile,SD08,At Tadamon - BN,SD08108," 1,129 ", 226 , -   , -   , -   ," 1,129 ", -   , -   , -   , -   , -   ," 1,129 ",0
Blue Nile,SD08,Ed Damazine,SD08105," 35,303 "," 7,052 ", -   , -   , -   ," 35,303 ", -   , -   , -   , -   , -   ," 34,858 ",445
Blue Nile,SD08,Geisan,SD08109, 740 , 148 , -   , -   , -   , 740 , -   , -   , -   , -   , -   , 740 ,0
Blue Nile,SD08,Wad Al Mahi,SD08110," 1,345 ", 269 , -   , -   , -   ," 1,345 ", -   , -   , -   , -   , -   ," 1,345 ",0
Central Darfur,SD06,Azum,SD06110," 49,000 "," 9,800 ", -   , -   , -   , -   , -   , -   , -   , -   ," 49,000 "," 49,000 ",0
Central Darfur,SD06,Gharb Jabal Marrah,SD06131," 32,705 "," 6,541 ", -   ," 25,000 ", -   , 205 , -   , -   ," 7,500 ", -   , -   ," 32,705 ",0
Central Darfur,SD06,Mukjar,SD06130, 475 , 95 , -   , 475 , -   , -   , -   , -   , -   , -   , -   , 475 ,0
Central Darfur,SD06,Shamal Jabal Marrah,SD06132," 77,805 "," 15,561 ", -   ," 4,020 ", -   ," 1,000 "," 70,785 ", -   ," 2,000 ", -   , -   ," 77,805 ",0
Central Darfur,SD06,Um Dukhun,SD06135," 41,150 "," 8,230 ", -   ," 36,375 ", -   , -   , -   , -   ," 3,025 ", -   ," 1,750 "," 41,150 ",0
Central Darfur,SD06,Wadi Salih,SD06137," 4,030 ", 806 , -   ," 4,030 ", -   , -   , -   , -   , -   , -   , -   ," 4,030 ",0
Central Darfur,SD06,Wasat Jabal Marrah,SD06139," 19,400 "," 3,880 ", -   ," 19,400 ", -   , -   , -   , -   , -   , -   , -   ," 19,400 ",0
Central Darfur,SD06,Zalingi,SD06138," 130,230 "," 26,046 ", -   ," 126,230 ", -   , -   , -   , -   , -   , -   ," 4,000 "," 130,230 ",0
East Darfur,SD05,Abu Jabrah,SD05140," 42,860 "," 8,572 ", -   , -   , -   ," 40,610 ", -   , -   ," 2,250 ", -   , -   ," 42,860 ",0
East Darfur,SD05,Abu Karinka,SD05155," 39,085 "," 7,817 ", -   , -   ," 7,500 "," 31,560 ", -   , -   , 25 , -   , -   ," 39,085 ",0
East Darfur,SD05,Ad Du'ayn,SD05142," 121,775 "," 24,355 ", -   , -   ," 15,000 "," 35,875 "," 7,815 "," 3,910 "," 59,175 ", -   , -   ," 121,775 ",0
East Darfur,SD05,Adila,SD05139," 47,125 "," 9,425 ", -   , -   , -   ," 44,625 ", -   , -   ," 2,500 ", -   , -   ," 47,125 ",0
East Darfur,SD05,Al Firdous,SD05152," 48,300 "," 9,660 ", -   , -   ," 12,500 "," 33,750 ", -   , -   ," 2,050 ", -   , -   ," 48,300 ",0
East Darfur,SD05,Assalaya,SD05163," 17,425 "," 3,485 ", -   , -   ," 13,500 ", -   , -   , -   ," 3,925 ", -   , -   ," 17,425 ",0
East Darfur,SD05,Bahr Al Arab,SD05160," 66,420 "," 13,264 ", -   , -   ," 15,000 "," 49,420 ", -   , -   ," 2,000 ", -   , -   ," 66,420 ",0
East Darfur,SD05,Shia'ria,SD05148," 145,180 "," 29,036 ", -   , -   , -   ," 59,555 ", 625 , -   ," 85,000 ", -   , -   ," 145,180 ",0
East Darfur,SD05,Yassin,SD05165," 74,285 "," 14,857 ", -   , -   , -   ," 63,085 ", 200 , -   ," 11,000 ", -   , -   ," 74,285 ",0
Gedaref,SD12,Al Butanah,SD12073," 3,745 ", 749 , -   , -   , -   ," 3,745 ", -   , -   , -   , -   , -   ," 3,745 ",0
Gedaref,SD12,Al Fao,SD12074," 14,976 "," 2,923 ", -   , -   , -   ," 14,976 ", -   , -   , -   , -   , -   ," 14,726 ",250
Gedaref,SD12,Al Fashaga,SD12075," 12,839 "," 2,470 ", -   , -   , -   ," 12,839 ", -   , -   , -   , -   , -   ," 12,839 ",0
Gedaref,SD12,Al Galabat Al Gharbyah - Kassab,SD12078," 11,525 "," 2,305 ", -   , -   , -   ," 11,525 ", -   , -   , -   , -   , -   ," 11,525 ",0
Gedaref,SD12,Al Mafaza,SD12082," 17,800 "," 3,560 ", -   , -   , -   ," 17,800 ", -   , -   , -   , -   , -   ," 17,800 ",0
Gedaref,SD12,Al Qureisha,SD12076," 18,520 "," 3,691 ", -   , -   , -   ," 18,520 ", -   , -   , -   , -   , -   ," 18,520 ",0
Gedaref,SD12,AR Rahad GR,SD12084," 33,130 "," 6,626 ", -   , -   , -   ," 33,130 ", -   , -   , -   , -   , -   ," 33,130 ",0
Gedaref,SD12,Basundah,SD12077," 14,000 "," 2,794 ", -   , -   , -   ," 14,000 ", -   , -   , -   , -   , -   ," 14,000 ",0
Gedaref,SD12,Gala'a Al Nahal,SD12079," 12,202 "," 2,440 ", -   , -   , -   ," 12,202 ", -   , -   , -   , -   , -   ," 12,202 ",0
Gedaref,SD12,Galabat Ash-Shargiah,SD12083," 38,650 "," 7,730 ", -   , -   , -   ," 38,650 ", -   , -   , -   , -   , -   ," 38,650 ",0
Gedaref,SD12,Madeinat Al Gedaref,SD12080," 79,419 "," 15,890 ", -   , -   , -   ," 79,419 ", -   , -   , -   , -   , -   ," 79,419 ",0
Gedaref,SD12,Wasat Al Gedaref,SD12081," 18,480 "," 3,653 ", -   , -   , -   ," 18,480 ", -   , -   , -   , -   , -   ," 11,195 ",7285
Kassala,SD11,Halfa Aj Jadeedah,SD11052," 43,345 "," 8,663 ", -   , -   , -   ," 43,345 ", -   , -   , -   , -   , -   ," 43,195 ",150
Kassala,SD11,Madeinat Kassala,SD11053," 54,442 "," 10,913 ", -   , -   , -   ," 54,442 ", -   , -   , -   , -   , -   ," 49,162 ",5280
Kassala,SD11,Reifi Aroma,SD11055, 720 , 144 , -   , -   , -   , 720 , -   , -   , -   , -   , -   , 720 ,0
Kassala,SD11,Reifi Kassla,SD11056," 2,545 ", 504 , -   , -   , -   ," 2,545 ", -   , -   , -   , -   , -   ," 2,545 ",0
Kassala,SD11,Reifi Khashm Elgirba,SD11060," 8,184 "," 1,636 ", -   , -   , -   ," 8,184 ", -   , -   , -   , -   , -   ," 8,184 ",0
Kassala,SD11,Reifi Nahr Atbara,SD11062," 2,391 ", 474 , -   , -   , -   ," 2,391 ", -   , -   , -   , -   , -   ," 2,391 ",0
Kassala,SD11,Reifi Shamal Ad Delta,SD11057," 3,375 ", 676 , -   , -   , -   ," 3,375 ", -   , -   , -   , -   , -   ," 3,375 ",0
Kassala,SD11,Reifi Telkok,SD11059, 855 , 171 , -   , -   , -   , 855 , -   , -   , -   , -   , -   , 855 ,0
Khartoum,SD01,Bahri,SD01003," 9,340 "," 1,868 ", -   , -   , -   ," 9,340 ", -   , -   , -   , -   , -   ," 9,335 ",5
