STATE OF DISPLACEMET,STATE_CODE, HHs, IDPs, Aj Jazirah, Central Darfur, Khartoum, North Darfur, North Kordofan, South Darfur, South Kordofan, West Darfur, SUDANESE, NON SUDANESE
Aj Jazirah,SD15," 78,472 "," 404,661 ", 425 ,," 404,236 ",,,,,," 404,661 ", -   
Blue Nile,SD08," 10,789 "," 54,005 ",,," 54,005 ",,,,,," 53,560 ", 445 
Central Darfur,SD06," 60,013 "," 300,065 ",," 175,380 ",," 67,785 ",," 2,150 ",," 54,750 "," 300,065 ", -   
East Darfur,SD05," 107,316 "," 536,680 ",,," 358,480 "," 7,815 "," 3,910 "," 166,475 ",, -   ," 536,680 ", -   
Gedaref,SD12," 53,888 "," 270,496 ",,," 270,496 ",,,,,," 262,961 "," 7,535 "
Kassala,SD11," 22,001 "," 110,170 ",,," 110,170 ",,,,,," 104,740 "," 5,430 "
Khartoum,SD01," 12,796 "," 64,030 ",,," 64,030 ",,,,,," 64,030 ", -   
North Darfur,SD02," 68,037 "," 340,838 ",," 5,945 "," 8,480 "," 287,261 ", 105 ," 26,712 ",," 12,335 "," 340,838 ", -   
North Kordofan,SD13," 19,712 "," 100,686 ",,," 88,431 ",," 11,325 ",, 930 , -   ," 100,684 ", 2 
Northern,SD17," 73,161 "," 362,516 ",,," 362,516 ",,,,,," 361,611 ", 905 
Red Sea,SD10," 24,870 "," 124,470 ",,," 124,470 ",,,,,," 109,301 "," 15,169 "
River Nile,SD16," 115,389 "," 577,568 ",,," 577,568 ",,,,,," 577,243 ", 325 
Sennar,SD14," 65,014 "," 325,836 ",,," 325,836 ",,,,,," 325,836 ", -   
South Darfur,SD03," 119,906 "," 599,538 ", -   ," 7,365 "," 12,675 "," 9,705 ",," 565,443 ",," 4,350 "," 599,538 ", -   
South Kordofan,SD07," 19,053 "," 97,336 ",,," 64,677 ",," 2,288 ",," 30,371 ",," 96,624 ", 712 
West Darfur,SD04," 22,530 "," 112,650 ",," 2,200 ", 784 , 286 ,, 325 ,," 109,055 "," 112,650 ", -   
West Kordofan,SD18," 11,396 "," 58,421 ",,," 49,587 ", 740 ," 6,154 ", 70 ," 1,860 ", 10 ," 58,421 ", -   
White Nile,SD09," 82,929 "," 416,328 ",,," 416,328 ",,,,,," 325,668 "," 90,660 "
