STATE OF DISPLACEMET,STATE CODE,LOCALITY OF DISPLACEMENT,LOCALITY_ CODE,IDPs,HHs,Aj Jazirah,Central Darfur,Khartoum,North Darfur,North Kordofan,South Darfur,South Kordofan,West Darfur,SUDANESE,NON SUDANESE
Aj Jazirah,SD15,Al Hasahisa,SD15034,16501,91153,,,91153,,,,,,91153,0
Aj Jazirah,SD15,Al Kamlin,SD15035,16934,85166,425,,84741,,,,,,85166,0
Aj Jazirah,SD15,Al Manaqil,SD15036,6371,31707,,,31707,,,,,,31707,0
Aj Jazirah,SD15,Al Qurashi,SD15037,2278,11409,,,11409,,,,,,11409,0
Aj Jazirah,SD15,Janub Al Jazirah,SD15031,7878,40324,,,40324,,,,,,40324,0
Aj Jazirah,SD15,Medani Al Kubra,SD15030,16650,85047,,,85047,,,,,,85047,0
Aj Jazirah,SD15,Sharg Al Jazirah,SD15033,3386,17010,,,17010,,,,,,17010,0
Aj Jazirah,SD15,Um Algura,SD15032,8474,42845,,,42845,,,,,,42845,0
Blue Nile,SD08,Al Kurmuk,SD08106,52,260,,,260,,,,,,260,0
Blue Nile,SD08,Ar Rusayris,SD08107,3374,16870,,,16870,,,,,,16870,0
Blue Nile,SD08,At Tadamon - BN,SD08108,226,1129,,,1129,,,,,,1129,0
Blue Nile,SD08,Ed Damazine,SD08105,6797,34046,,,34046,,,,,,33601,445
Blue Nile,SD08,Geisan,SD08109,148,740,,,740,,,,,,740,0
Blue Nile,SD08,Wad Al Mahi,SD08110,192,960,,,960,,,,,,960,0
Central Darfur,SD06,Azum,SD06110,9800,49000,,,,,,,,49000,49000,0
Central Darfur,SD06,Gharb Jabal Marrah,SD06131,3300,16500,,16500,,,,,,,16500,0
Central Darfur,SD06,Mukjar,SD06130,95,475,,475,,,,,,,475,0
Central Darfur,SD06,Shamal Jabal Marrah,SD06132,13557,67785,,,,67785,,,,,67785,0
Central Darfur,SD06,Um Dukhun,SD06135,7980,39900,,36000,,,,2150,,1750,39900,0
Central Darfur,SD06,Wadi Salih,SD06137,806,4030,,4030,,,,,,,4030,0
Central Darfur,SD06,Wasat Jabal Marrah,SD06139,3800,19000,,19000,,,,,,0,19000,0
Central Darfur,SD06,Zalingi,SD06138,20675,103375,,99375,,,,,,4000,103375,0
East Darfur,SD05,Abu Jabrah,SD05140,8572,42860,,,40610,,,2250,,,42860,0
East Darfur,SD05,Abu Karinka,SD05155,6317,31585,,,31560,,,25,,,31585,0
East Darfur,SD05,Ad Du'ayn,SD05142,21315,106575,,,35875,7815,3910,58975,,,106575,0
East Darfur,SD05,Adila,SD05139,9425,47125,,,44625,,,2500,,,47125,0
East Darfur,SD05,Al Firdous,SD05152,7160,35800,,,33750,,,2050,,,35800,0
East Darfur,SD05,Assalaya,SD05163,765,3825,,,,,,3825,,,3825,0
East Darfur,SD05,Bahr Al Arab,SD05160,10264,51420,,,49420,,,2000,,,51420,0
East Darfur,SD05,Shia'ria,SD05148,28811,144055,,,59555,,,84500,,0,144055,0
East Darfur,SD05,Yassin,SD05165,14687,73435,,,63085,,,10350,,,73435,0
Gedaref,SD12,Al Butanah,SD12073,749,3745,,,3745,,,,,,3745,0
Gedaref,SD12,Al Fao,SD12074,2923,14976,,,14976,,,,,,14726,250
Gedaref,SD12,Al Fashaga,SD12075,2470,12839,,,12839,,,,,,12839,0
Gedaref,SD12,Al Galabat Al Gharbyah - Kassab,SD12078,2305,11525,,,11525,,,,,,11525,0
Gedaref,SD12,Al Mafaza,SD12082,3560,17800,,,17800,,,,,,17800,0
Gedaref,SD12,Al Qureisha,SD12076,3624,18120,,,18120,,,,,,18120,0
Gedaref,SD12,AR Rahad,SD12084,6626,33130,,,33130,,,,,,33130,0
Gedaref,SD12,Basundah,SD12077,2786,13950,,,13950,,,,,,13950,0
Gedaref,SD12,Gala'a Al Nahal,SD12079,2440,12202,,,12202,,,,,,12202,0
Gedaref,SD12,Galabat Ash-Shargiah,SD12083,7730,38650,,,38650,,,,,,38650,0
Gedaref,SD12,Madeinat Al Gedaref,SD12080,15022,75079,,,75079,,,,,,75079,0
Gedaref,SD12,Wasat Al Gedaref,SD12081,3653,18480,,,18480,,,,,,11195,7285
Kassala,SD11,Halfa Aj Jadeedah,SD11052,8581,42905,,,42905,,,,,,42755,150
Kassala,SD11,Madeinat Kassala,SD11053,10122,50730,,,50730,,,,,,45450,5280
Kassala,SD11,Reifi Aroma,SD11055,138,690,,,690,,,,,,690,0
Kassala,SD11,Reifi Kassla,SD11056,504,2545,,,2545,,,,,,2545,0
Kassala,SD11,Reifi Khashm Elgirba,SD11060,1627,8139,,,8139,,,,,,8139,0
Kassala,SD11,Reifi Nahr Atbara,SD11062,474,2391,,,2391,,,,,,2391,0
Kassala,SD11,Reifi Shamal Ad Delta,SD11057,384,1915,,,1915,,,,,,1915,0
Kassala,SD11,Reifi Telkok,SD11059,171,855,,,855,,,,,,855,0
Khartoum,SD01,Bahri,SD01003,1661,8305,,,8305,,,,,,8305,0
Khartoum,SD01,Jebel Awlia,SD01001,1978,9890,,,9890,,,,,,9890,0
Khartoum,SD01,Karrari,SD01005,1897,9485,,,9485,,,,,,9485,0
Khartoum,SD01,Khartoum,SD01007,1017,5085,,,5085,,,,,,5085,0
Khartoum,SD01,Sharg An Neel,SD01004,2701,13555,,,13555,,,,,,13555,0
