STATE OF DISPLACEMET,STATE CODE,LOCALITY OF DISPLACEMENT,LOCALITY_ CODE,IDPs,HHs,  SUDANESE  , NON SUDANESE,State_Of_Origin,IDPs_by_state_of_origin
Aj Jazirah,SD15,Al Hasahisa,SD15034,56155,10935,56155,0, Aj Jazirah,11562
Aj Jazirah,SD15,Al Hasahisa,SD15034,56155,10935,56155,0, Central Darfur,0
Aj Jazirah,SD15,Al Hasahisa,SD15034,56155,10935,56155,0, East Darfur,0
Aj Jazirah,SD15,Al Hasahisa,SD15034,56155,10935,56155,0, Khartoum,44593
Aj Jazirah,SD15,Al Hasahisa,SD15034,56155,10935,56155,0, North Darfur,0
Aj Jazirah,SD15,Al Hasahisa,SD15034,56155,10935,56155,0, North Kordofan,0
Aj Jazirah,SD15,Al Hasahisa,SD15034,56155,10935,56155,0, Sennar,0
Aj Jazirah,SD15,Al Hasahisa,SD15034,56155,10935,56155,0, South Darfur,0
Aj Jazirah,SD15,Al Hasahisa,SD15034,56155,10935,56155,0, South Kordofan,0
Aj Jazirah,SD15,Al Hasahisa,SD15034,56155,10935,56155,0, West Darfur,0
Aj Jazirah,SD15,Al Hasahisa,SD15034,56155,10935,56155,0, West Kordofan,0
Aj Jazirah,SD15,Al Hasahisa,SD15034,56155,10935,56155,0, White Nile,0
Aj Jazirah,SD15,Al Kamlin,SD15035,67437,13418,67437,0, Aj Jazirah,5934
Aj Jazirah,SD15,Al Kamlin,SD15035,67437,13418,67437,0, Central Darfur,0
Aj Jazirah,SD15,Al Kamlin,SD15035,67437,13418,67437,0, East Darfur,0
Aj Jazirah,SD15,Al Kamlin,SD15035,67437,13418,67437,0, Khartoum,61503
Aj Jazirah,SD15,Al Kamlin,SD15035,67437,13418,67437,0, North Darfur,0
Aj Jazirah,SD15,Al Kamlin,SD15035,67437,13418,67437,0, North Kordofan,0
Aj Jazirah,SD15,Al Kamlin,SD15035,67437,13418,67437,0, Sennar,0
Aj Jazirah,SD15,Al Kamlin,SD15035,67437,13418,67437,0, South Darfur,0
Aj Jazirah,SD15,Al Kamlin,SD15035,67437,13418,67437,0, South Kordofan,0
Aj Jazirah,SD15,Al Kamlin,SD15035,67437,13418,67437,0, West Darfur,0
Aj Jazirah,SD15,Al Kamlin,SD15035,67437,13418,67437,0, West Kordofan,0
Aj Jazirah,SD15,Al Kamlin,SD15035,67437,13418,67437,0, White Nile,0
Aj Jazirah,SD15,Al Manaqil,SD15036,50103,10015,50103,0, Aj Jazirah,31930
Aj Jazirah,SD15,Al Manaqil,SD15036,50103,10015,50103,0, Central Darfur,0
Aj Jazirah,SD15,Al Manaqil,SD15036,50103,10015,50103,0, East Darfur,0
Aj Jazirah,SD15,Al Manaqil,SD15036,50103,10015,50103,0, Khartoum,18173
Aj Jazirah,SD15,Al Manaqil,SD15036,50103,10015,50103,0, North Darfur,0
Aj Jazirah,SD15,Al Manaqil,SD15036,50103,10015,50103,0, North Kordofan,0
Aj Jazirah,SD15,Al Manaqil,SD15036,50103,10015,50103,0, Sennar,0
Aj Jazirah,SD15,Al Manaqil,SD15036,50103,10015,50103,0, South Darfur,0
Aj Jazirah,SD15,Al Manaqil,SD15036,50103,10015,50103,0, South Kordofan,0
Aj Jazirah,SD15,Al Manaqil,SD15036,50103,10015,50103,0, West Darfur,0
Aj Jazirah,SD15,Al Manaqil,SD15036,50103,10015,50103,0, West Kordofan,0
Aj Jazirah,SD15,Al Manaqil,SD15036,50103,10015,50103,0, White Nile,0
Aj Jazirah,SD15,Al Qurashi,SD15037,80456,16028,80456,0, Aj Jazirah,44894
Aj Jazirah,SD15,Al Qurashi,SD15037,80456,16028,80456,0, Central Darfur,0
Aj Jazirah,SD15,Al Qurashi,SD15037,80456,16028,80456,0, East Darfur,0
Aj Jazirah,SD15,Al Qurashi,SD15037,80456,16028,80456,0, Khartoum,31600
Aj Jazirah,SD15,Al Qurashi,SD15037,80456,16028,80456,0, North Darfur,0
Aj Jazirah,SD15,Al Qurashi,SD15037,80456,16028,80456,0, North Kordofan,0
Aj Jazirah,SD15,Al Qurashi,SD15037,80456,16028,80456,0, Sennar,120
Aj Jazirah,SD15,Al Qurashi,SD15037,80456,16028,80456,0, South Darfur,0
Aj Jazirah,SD15,Al Qurashi,SD15037,80456,16028,80456,0, South Kordofan,0
Aj Jazirah,SD15,Al Qurashi,SD15037,80456,16028,80456,0, West Darfur,0
Aj Jazirah,SD15,Al Qurashi,SD15037,80456,16028,80456,0, West Kordofan,0
Aj Jazirah,SD15,Al Qurashi,SD15037,80456,16028,80456,0, White Nile,3842
Aj Jazirah,SD15,Janub Al Jazirah,SD15031,23698,4419,23698,0, Aj Jazirah,18173
Aj Jazirah,SD15,Janub Al Jazirah,SD15031,23698,4419,23698,0, Central Darfur,0
Aj Jazirah,SD15,Janub Al Jazirah,SD15031,23698,4419,23698,0, East Darfur,0
Aj Jazirah,SD15,Janub Al Jazirah,SD15031,23698,4419,23698,0, Khartoum,5525
Aj Jazirah,SD15,Janub Al Jazirah,SD15031,23698,4419,23698,0, North Darfur,0
Aj Jazirah,SD15,Janub Al Jazirah,SD15031,23698,4419,23698,0, North Kordofan,0
Aj Jazirah,SD15,Janub Al Jazirah,SD15031,23698,4419,23698,0, Sennar,0
Aj Jazirah,SD15,Janub Al Jazirah,SD15031,23698,4419,23698,0, South Darfur,0
Aj Jazirah,SD15,Janub Al Jazirah,SD15031,23698,4419,23698,0, South Kordofan,0
Aj Jazirah,SD15,Janub Al Jazirah,SD15031,23698,4419,23698,0, West Darfur,0
Aj Jazirah,SD15,Janub Al Jazirah,SD15031,23698,4419,23698,0, West Kordofan,0
Aj Jazirah,SD15,Janub Al Jazirah,SD15031,23698,4419,23698,0, White Nile,0
Aj Jazirah,SD15,Medani Al Kubra,SD15030,22155,4431,22155,0, Aj Jazirah,14133
Aj Jazirah,SD15,Medani Al Kubra,SD15030,22155,4431,22155,0, Central Darfur,0
Aj Jazirah,SD15,Medani Al Kubra,SD15030,22155,4431,22155,0, East Darfur,0
Aj Jazirah,SD15,Medani Al Kubra,SD15030,22155,4431,22155,0, Khartoum,8022
Aj Jazirah,SD15,Medani Al Kubra,SD15030,22155,4431,22155,0, North Darfur,0
Aj Jazirah,SD15,Medani Al Kubra,SD15030,22155,4431,22155,0, North Kordofan,0
Aj Jazirah,SD15,Medani Al Kubra,SD15030,22155,4431,22155,0, Sennar,0
Aj Jazirah,SD15,Medani Al Kubra,SD15030,22155,4431,22155,0, South Darfur,0
Aj Jazirah,SD15,Medani Al Kubra,SD15030,22155,4431,22155,0, South Kordofan,0
Aj Jazirah,SD15,Medani Al Kubra,SD15030,22155,4431,22155,0, West Darfur,0
Aj Jazirah,SD15,Medani Al Kubra,SD15030,22155,4431,22155,0, West Kordofan,0
Aj Jazirah,SD15,Medani Al Kubra,SD15030,22155,4431,22155,0, White Nile,0
Aj Jazirah,SD15,Sharg Al Jazirah,SD15033,31763,6350,31763,0, Aj Jazirah,12128
Aj Jazirah,SD15,Sharg Al Jazirah,SD15033,31763,6350,31763,0, Central Darfur,0
Aj Jazirah,SD15,Sharg Al Jazirah,SD15033,31763,6350,31763,0, East Darfur,0
Aj Jazirah,SD15,Sharg Al Jazirah,SD15033,31763,6350,31763,0, Khartoum,19635
Aj Jazirah,SD15,Sharg Al Jazirah,SD15033,31763,6350,31763,0, North Darfur,0
Aj Jazirah,SD15,Sharg Al Jazirah,SD15033,31763,6350,31763,0, North Kordofan,0
Aj Jazirah,SD15,Sharg Al Jazirah,SD15033,31763,6350,31763,0, Sennar,0
Aj Jazirah,SD15,Sharg Al Jazirah,SD15033,31763,6350,31763,0, South Darfur,0
Aj Jazirah,SD15,Sharg Al Jazirah,SD15033,31763,6350,31763,0, South Kordofan,0
Aj Jazirah,SD15,Sharg Al Jazirah,SD15033,31763,6350,31763,0, West Darfur,0
Aj Jazirah,SD15,Sharg Al Jazirah,SD15033,31763,6350,31763,0, West Kordofan,0
Aj Jazirah,SD15,Sharg Al Jazirah,SD15033,31763,6350,31763,0, White Nile,0
Aj Jazirah,SD15,Um Algura,SD15032,35131,6891,35131,0, Aj Jazirah,27273
Aj Jazirah,SD15,Um Algura,SD15032,35131,6891,35131,0, Central Darfur,0
Aj Jazirah,SD15,Um Algura,SD15032,35131,6891,35131,0, East Darfur,0
Aj Jazirah,SD15,Um Algura,SD15032,35131,6891,35131,0, Khartoum,7858
Aj Jazirah,SD15,Um Algura,SD15032,35131,6891,35131,0, North Darfur,0
Aj Jazirah,SD15,Um Algura,SD15032,35131,6891,35131,0, North Kordofan,0
Aj Jazirah,SD15,Um Algura,SD15032,35131,6891,35131,0, Sennar,0
Aj Jazirah,SD15,Um Algura,SD15032,35131,6891,35131,0, South Darfur,0
Aj Jazirah,SD15,Um Algura,SD15032,35131,6891,35131,0, South Kordofan,0
Aj Jazirah,SD15,Um Algura,SD15032,35131,6891,35131,0, West Darfur,0
Aj Jazirah,SD15,Um Algura,SD15032,35131,6891,35131,0, West Kordofan,0
Aj Jazirah,SD15,Um Algura,SD15032,35131,6891,35131,0, White Nile,0
Blue Nile,SD08,Al Kurmuk,SD08106,1235,247,1235,0, Aj Jazirah,175
Blue Nile,SD08,Al Kurmuk,SD08106,1235,247,1235,0, Central Darfur,0
Blue Nile,SD08,Al Kurmuk,SD08106,1235,247,1235,0, East Darfur,0
Blue Nile,SD08,Al Kurmuk,SD08106,1235,247,1235,0, Khartoum,1060
Blue Nile,SD08,Al Kurmuk,SD08106,1235,247,1235,0, North Darfur,0
Blue Nile,SD08,Al Kurmuk,SD08106,1235,247,1235,0, North Kordofan,0
Blue Nile,SD08,Al Kurmuk,SD08106,1235,247,1235,0, Sennar,0
Blue Nile,SD08,Al Kurmuk,SD08106,1235,247,1235,0, South Darfur,0
Blue Nile,SD08,Al Kurmuk,SD08106,1235,247,1235,0, South Kordofan,0
Blue Nile,SD08,Al Kurmuk,SD08106,1235,247,1235,0, West Darfur,0
Blue Nile,SD08,Al Kurmuk,SD08106,1235,247,1235,0, West Kordofan,0
Blue Nile,SD08,Al Kurmuk,SD08106,1235,247,1235,0, White Nile,0
Blue Nile,SD08,Ar Rusayris,SD08107,36871,7320,36871,0, Aj Jazirah,6010
Blue Nile,SD08,Ar Rusayris,SD08107,36871,7320,36871,0, Central Darfur,0
Blue Nile,SD08,Ar Rusayris,SD08107,36871,7320,36871,0, East Darfur,0
Blue Nile,SD08,Ar Rusayris,SD08107,36871,7320,36871,0, Khartoum,30080
Blue Nile,SD08,Ar Rusayris,SD08107,36871,7320,36871,0, North Darfur,0
Blue Nile,SD08,Ar Rusayris,SD08107,36871,7320,36871,0, North Kordofan,0
Blue Nile,SD08,Ar Rusayris,SD08107,36871,7320,36871,0, Sennar,66
Blue Nile,SD08,Ar Rusayris,SD08107,36871,7320,36871,0, South Darfur,60
Blue Nile,SD08,Ar Rusayris,SD08107,36871,7320,36871,0, South Kordofan,645
Blue Nile,SD08,Ar Rusayris,SD08107,36871,7320,36871,0, West Darfur,0
Blue Nile,SD08,Ar Rusayris,SD08107,36871,7320,36871,0, West Kordofan,0
Blue Nile,SD08,Ar Rusayris,SD08107,36871,7320,36871,0, White Nile,10
Blue Nile,SD08,At Tadamon - BN,SD08108,5530,1106,5530,0, Aj Jazirah,605
Blue Nile,SD08,At Tadamon - BN,SD08108,5530,1106,5530,0, Central Darfur,0
Blue Nile,SD08,At Tadamon - BN,SD08108,5530,1106,5530,0, East Darfur,0
Blue Nile,SD08,At Tadamon - BN,SD08108,5530,1106,5530,0, Khartoum,4425
Blue Nile,SD08,At Tadamon - BN,SD08108,5530,1106,5530,0, North Darfur,0
Blue Nile,SD08,At Tadamon - BN,SD08108,5530,1106,5530,0, North Kordofan,0
Blue Nile,SD08,At Tadamon - BN,SD08108,5530,1106,5530,0, Sennar,500
Blue Nile,SD08,At Tadamon - BN,SD08108,5530,1106,5530,0, South Darfur,0
Blue Nile,SD08,At Tadamon - BN,SD08108,5530,1106,5530,0, South Kordofan,0
Blue Nile,SD08,At Tadamon - BN,SD08108,5530,1106,5530,0, West Darfur,0
Blue Nile,SD08,At Tadamon - BN,SD08108,5530,1106,5530,0, West Kordofan,0
Blue Nile,SD08,At Tadamon - BN,SD08108,5530,1106,5530,0, White Nile,0
Blue Nile,SD08,Baw,SD08104,8155,1631,8155,0, Aj Jazirah,1620
Blue Nile,SD08,Baw,SD08104,8155,1631,8155,0, Central Darfur,0
Blue Nile,SD08,Baw,SD08104,8155,1631,8155,0, East Darfur,0
Blue Nile,SD08,Baw,SD08104,8155,1631,8155,0, Khartoum,6535
Blue Nile,SD08,Baw,SD08104,8155,1631,8155,0, North Darfur,0
Blue Nile,SD08,Baw,SD08104,8155,1631,8155,0, North Kordofan,0
Blue Nile,SD08,Baw,SD08104,8155,1631,8155,0, Sennar,0
Blue Nile,SD08,Baw,SD08104,8155,1631,8155,0, South Darfur,0
Blue Nile,SD08,Baw,SD08104,8155,1631,8155,0, South Kordofan,0
Blue Nile,SD08,Baw,SD08104,8155,1631,8155,0, West Darfur,0
