STATE OF DISPLACEMET,STATE CODE,IDPs,HHs,Aj Jazirah,Central Darfur,East Darfur,Khartoum,North Darfur,North Kordofan,Sennar,South Darfur,South Kordofan,West Darfur,West Kordofan,White Nile,  SUDANESE  , NON SUDANESE
Aj Jazirah,SD15,"366,898","72,487"," 166,027 ", -   , -   ," 196,909 ", -   , -   , 120 , -   , -   , -   , -   ," 3,842 "," 366,898 ", -   
Blue Nile,SD08,"146,760","29,119"," 18,821 ", -   , -   ," 125,553 ", 5 , 35 , 686 , 175 ," 1,475 ", -   , -   , 10 ," 146,265 ", 495 
Central Darfur,SD06,"429,525","85,905", -   ," 271,785 ", -   ," 2,755 "," 73,980 ", -   , -   ," 19,355 ", -   ," 61,650 ", -   , -   ," 429,525 ", -   
East Darfur,SD05,"660,540","131,998", 400 , -   ," 73,585 "," 360,240 "," 15,430 "," 4,420 ", -   ," 204,780 ", -   , -   ," 1,685 ", -   ," 660,540 ", -   
Gedaref,SD12,"476,558","94,668"," 135,008 ", -   , -   ," 339,348 "," 1,557 ", 350 , -   , 295 , -   , -   , -   , -   ," 469,023 "," 7,535 "
Kassala,SD11,"199,458","40,157"," 53,025 ", -   , -   ," 146,433 ", -   , -   , -   , -   , -   , -   , -   , -   ," 195,588 "," 3,870 "
Khartoum,SD01,"65,141","12,940"," 1,425 ", -   , -   ," 63,716 ", -   , -   , -   , -   , -   , -   , -   , -   ," 64,906 ", 235 
North Darfur,SD02,"570,183","113,929", 65 ," 7,940 ", 208 ," 8,900 "," 495,742 ", 425 , -   ," 43,793 ", -   ," 12,945 ", 165 , -   ," 570,066 ", 117 
North Kordofan,SD13,"153,297","30,119"," 1,673 ", -   , -   ," 122,472 ", -   ," 23,879 ", 235 , -   ," 4,548 ", -   , 365 , 125 ," 152,969 ", 328 
Northern,SD17,"399,755","80,486"," 11,104 ", -   , -   ," 387,879 ", -   , -   , 548 , -   , 124 , -   , -   , 100 ," 399,024 ", 731 
Red Sea,SD10,"247,802","49,795"," 65,054 ", 139 , -   ," 161,710 "," 5,206 "," 5,460 "," 2,337 "," 3,358 "," 3,282 ", 381 , -   , 875 ," 232,511 "," 15,291 "
River Nile,SD16,"702,456","138,379"," 17,594 ", 115 , 90 ," 684,320 ", 187 , 45 , -   , 50 , 30 , 25 , -   , -   ," 702,228 ", 228 
Sennar,SD14,"512,186","102,130"," 121,559 ", -   , -   ," 349,908 ", -   , -   ," 40,719 ", -   , -   , -   , -   , -   ," 512,186 ", -   
South Darfur,SD03,"744,208","148,841", -   ," 9,365 ", -   ," 16,650 "," 12,950 ", -   , -   ," 700,643 ", -   ," 4,600 ", -   , -   ," 744,208 ", -   
South Kordofan,SD07,"198,109","39,346"," 2,753 ", -   , -   ," 65,069 ", -   ," 5,850 ", 165 , -   ," 124,093 ", -   , 30 , 149 ," 197,367 ", 742 
West Darfur,SD04,"173,685","34,737", -   ," 3,520 "," 1,885 "," 3,294 ", 771 , -   , -   ," 8,550 ", -   ," 155,665 ", -   , -   ," 173,685 ", -   
West Kordofan,SD18,"147,010","28,991", -   , -   , 5 ," 61,527 ", 845 ," 10,599 ", -   , 250 ," 6,115 ", -   ," 67,669 ", -   ," 147,010 ", -   
White Nile,SD09,"526,565","104,719"," 50,965 ", -   , -   ," 467,936 ", -   , 269 , 55 , -   , -   , -   , -   ," 7,340 "," 436,871 "," 89,694 "
